region_uid,region_name,year,NAICS6,NAICSD,defence_type,total_sales_M,sales_bucket,n_firms,avg_employees,total_jobs,lq_sales,lq_firms,lq_jobs,suppressed
930,Chilliwack,2017,325920,Explosives Manufacturing,primary,,<$5M,<2,,,,,,True
850,Grande Prairie,2017,325920,Explosives Manufacturing,primary,,<$5M,<2,,,,,,True
205,Halifax,2017,325920,Explosives Manufacturing,primary,,>=$5M,<2,,,,,,True
421,Québec,2017,325920,Explosives Manufacturing,primary,,<$5M,<2,,,,,,True
RURAL_BC,Rural British Columbia,2017,325920,Explosives Manufacturing,primary,19.057,>=$5M,2,29.5,59.0,35.352,9.495,30.596,False
RURAL_QC,Rural Quebec,2017,325920,Explosives Manufacturing,primary,,<$5M,<2,,,,,,True
RURAL_SK,Rural Saskatchewan,2017,325920,Explosives Manufacturing,primary,,>=$5M,<2,,,,,,True
001,St. John's,2017,325920,Explosives Manufacturing,primary,,<$5M,<2,,,,,,True
430,Thetford Mines,2017,325920,Explosives Manufacturing,primary,,<$5M,<2,,,,,,True
480,Val-d'Or,2017,325920,Explosives Manufacturing,primary,,<$5M,<2,,,,,,True
930,Chilliwack,2018,325920,Explosives Manufacturing,primary,,<$5M,<2,,,,,,True
850,Grande Prairie,2018,325920,Explosives Manufacturing,primary,,<$5M,<2,,,,,,True
205,Halifax,2018,325920,Explosives Manufacturing,primary,,>=$5M,<2,,,,,,True
421,Québec,2018,325920,Explosives Manufacturing,primary,,<$5M,<2,,,,,,True
RURAL_AB,Rural Alberta,2018,325920,Explosives Manufacturing,primary,,<$5M,<2,,,,,,True
RURAL_BC,Rural British Columbia,2018,325920,Explosives Manufacturing,primary,19.057,>=$5M,2,29.5,59.0,34.272,7.902,29.458,False
RURAL_QC,Rural Quebec,2018,325920,Explosives Manufacturing,primary,,<$5M,<2,,,,,,True
RURAL_SK,Rural Saskatchewan,2018,325920,Explosives Manufacturing,primary,7.429,>=$5M,2,11.5,23.0,15.59,11.393,16.122,False
001,St. John's,2018,325920,Explosives Manufacturing,primary,,<$5M,<2,,,,,,True
430,Thetford Mines,2018,325920,Explosives Manufacturing,primary,,<$5M,<2,,,,,,True
480,Val-d'Or,2018,325920,Explosives Manufacturing,primary,,<$5M,<2,,,,,,True
825,Calgary,2019,325920,Explosives Manufacturing,primary,10.336,>=$5M,3,10.7,32.0,2.919,3.214,3.643,False
930,Chilliwack,2019,325920,Explosives Manufacturing,primary,,<$5M,<2,,,,,,True
015,Corner Brook,2019,325920,Explosives Manufacturing,primary,,<$5M,<2,,,,,,True
850,Grande Prairie,2019,325920,Explosives Manufacturing,primary,4.522,<$5M,2,7.0,14.0,21.576,30.132,23.539,False
205,Halifax,2019,325920,Explosives Manufacturing,primary,6.46,>=$5M,2,10.0,20.0,7.125,5.901,5.886,False
421,Québec,2019,325920,Explosives Manufacturing,primary,6.137,>=$5M,2,9.5,19.0,4.169,4.299,3.946,False
RURAL_AB,Rural Alberta,2019,325920,Explosives Manufacturing,primary,,<$5M,<2,,,,,,True
RURAL_BC,Rural British Columbia,2019,325920,Explosives Manufacturing,primary,19.057,>=$5M,2,29.5,59.0,22.9,4.703,20.159,False
RURAL_ON,Rural Ontario,2019,325920,Explosives Manufacturing,primary,5.814,>=$5M,2,9.0,18.0,2.54,1.987,2.482,False
RURAL_QC,Rural Quebec,2019,325920,Explosives Manufacturing,primary,1.938,<$5M,2,3.0,6.0,0.711,1.794,0.649,False
RURAL_SK,Rural Saskatchewan,2019,325920,Explosives Manufacturing,primary,5.491,>=$5M,2,8.5,17.0,7.162,6.433,7.688,False
408,Saguenay,2019,325920,Explosives Manufacturing,primary,,<$5M,<2,,,,,,True
001,St. John's,2019,325920,Explosives Manufacturing,primary,,<$5M,<2,,,,,,True
430,Thetford Mines,2019,325920,Explosives Manufacturing,primary,,<$5M,<2,,,,,,True
995,Yellowknife,2019,325920,Explosives Manufacturing,primary,,<$5M,<2,,,,,,True
825,Calgary,2020,325920,Explosives Manufacturing,primary,12.274,>=$5M,3,12.7,38.0,3.376,2.916,4.101,False
944,Campbell River,2020,325920,Explosives Manufacturing,primary,,<$5M,<2,,,,,,True
930,Chilliwack,2020,325920,Explosives Manufacturing,primary,,<$5M,<2,,,,,,True
850,Grande Prairie,2020,325920,Explosives Manufacturing,primary,,<$5M,<2,,,,,,True
205,Halifax,2020,325920,Explosives Manufacturing,primary,,>=$5M,<2,,,,,,True
925,Kamloops,2020,325920,Explosives Manufacturing,primary,4.522,<$5M,2,7.0,14.0,23.623,21.899,19.176,False
421,Québec,2020,325920,Explosives Manufacturing,primary,6.137,>=$5M,2,9.5,19.0,4.155,3.995,3.829,False
RURAL_AB,Rural Alberta,2020,325920,Explosives Manufacturing,primary,,<$5M,<2,,,,,,True
RURAL_BC,Rural British Columbia,2020,325920,Explosives Manufacturing,primary,19.057,>=$5M,2,29.5,59.0,21.431,4.372,19.162,False
RURAL_ON,Rural Ontario,2020,325920,Explosives Manufacturing,primary,,<$5M,<2,,,,,,True
RURAL_QC,Rural Quebec,2020,325920,Explosives Manufacturing,primary,1.938,<$5M,2,3.0,6.0,0.675,1.664,0.617,False
RURAL_SK,Rural Saskatchewan,2020,325920,Explosives Manufacturing,primary,5.491,>=$5M,2,8.5,17.0,6.852,5.964,7.244,False
408,Saguenay,2020,325920,Explosives Manufacturing,primary,,<$5M,<2,,,,,,True
539,St. Catharines - Niagara,2020,325920,Explosives Manufacturing,primary,,<$5M,<2,,,,,,True
001,St. John's,2020,325920,Explosives Manufacturing,primary,,<$5M,<2,,,,,,True
430,Thetford Mines,2020,325920,Explosives Manufacturing,primary,,<$5M,<2,,,,,,True
480,Val-d'Or,2020,325920,Explosives Manufacturing,primary,,<$5M,<2,,,,,,True
933,Vancouver,2020,325920,Explosives Manufacturing,primary,,<$5M,<2,,,,,,True
995,Yellowknife,2020,325920,Explosives Manufacturing,primary,,<$5M,<2,,,,,,True
825,Calgary,2021,325920,Explosives Manufacturing,primary,12.274,>=$5M,3,12.3,37.0,3.641,3.001,3.997,False
930,Chilliwack,2021,325920,Explosives Manufacturing,primary,,<$5M,<2,,,,,,True
850,Grande Prairie,2021,325920,Explosives Manufacturing,primary,,<$5M,<2,,,,,,True
205,Halifax,2021,325920,Explosives Manufacturing,primary,,>=$5M,<2,,,,,,True
925,Kamloops,2021,325920,Explosives Manufacturing,primary,4.522,<$5M,2,7.0,14.0,26.733,23.496,20.837,False
421,Québec,2021,325920,Explosives Manufacturing,primary,6.137,>=$5M,2,9.5,19.0,4.237,4.137,3.924,False
RURAL_AB,Rural Alberta,2021,325920,Explosives Manufacturing,primary,,<$5M,<2,,,,,,True
RURAL_BC,Rural British Columbia,2021,325920,Explosives Manufacturing,primary,19.057,>=$5M,2,29.5,59.0,22.693,4.58,19.721,False
