region_uid,region_name,year,NAICS6,NAICSD,defence_type,total_sales_M,sales_bucket,n_firms,avg_employees,total_jobs,lq_sales,lq_firms,lq_jobs,suppressed
5909052,Abbotsford,2017,ALL,All,all,116.407,>=$5M,43,9.3,402.0,0.797,0.918,0.834,False
5909052,Abbotsford,2017,PRIMARY,Primary,primary,36.358,>=$5M,2,49.0,98.0,4.08,3.649,4.93,False
5909052,Abbotsford,2017,SECONDARY,Secondary,secondary,80.049,>=$5M,41,7.4,304.0,0.584,0.885,0.658,False
5909052,Abbotsford,2018,ALL,All,all,134.377,>=$5M,45,10.7,480.0,0.866,0.927,0.93,False
5909052,Abbotsford,2018,PRIMARY,Primary,primary,36.358,>=$5M,2,49.0,98.0,3.931,3.383,4.744,False
5909052,Abbotsford,2018,SECONDARY,Secondary,secondary,98.019,>=$5M,43,8.9,382.0,0.671,0.896,0.771,False
5909052,Abbotsford,2019,ALL,All,all,144.544,>=$5M,55,9.6,529.0,0.781,1.024,0.85,False
5909052,Abbotsford,2019,PRIMARY,Primary,primary,36.358,>=$5M,2,49.0,98.0,2.385,2.65,3.084,False
5909052,Abbotsford,2019,SECONDARY,Secondary,secondary,108.186,>=$5M,53,8.1,431.0,0.637,1.001,0.73,False
5909052,Abbotsford,2020,ALL,All,all,145.579,>=$5M,56,9.5,534.0,0.65,1.032,0.701,False
5909052,Abbotsford,2020,PRIMARY,Primary,primary,36.358,>=$5M,2,49.0,98.0,2.594,2.631,3.396,False
5909052,Abbotsford,2020,SECONDARY,Secondary,secondary,109.221,>=$5M,54,8.1,436.0,0.521,1.009,0.594,False
5909052,Abbotsford,2021,ALL,All,all,133.735,>=$5M,47,10.3,484.0,0.92,0.976,0.952,False
5909052,Abbotsford,2021,PRIMARY,Primary,primary,36.358,>=$5M,2,49.0,98.0,3.117,2.851,3.864,False
5909052,Abbotsford,2021,SECONDARY,Secondary,secondary,97.377,>=$5M,45,8.6,386.0,0.728,0.949,0.799,False
5909052,Abbotsford,2022,ALL,All,all,172.889,>=$5M,64,8.8,566.0,0.956,1.035,0.905,False
5909052,Abbotsford,2022,PRIMARY,Primary,primary,46.066,>=$5M,8,15.4,123.0,1.924,1.78,1.869,False
5909052,Abbotsford,2022,SECONDARY,Secondary,secondary,126.823,>=$5M,56,7.9,443.0,0.808,0.977,0.792,False
5909052,Abbotsford,2023,ALL,All,all,157.064,>=$5M,61,9.2,559.0,0.909,1.024,0.958,False
5909052,Abbotsford,2023,PRIMARY,Primary,primary,17.825,>=$5M,6,7.7,46.0,0.783,1.336,0.703,False
5909052,Abbotsford,2023,SECONDARY,Secondary,secondary,139.239,>=$5M,55,9.3,513.0,0.928,0.999,0.991,False
5909052,Abbotsford,2024,ALL,All,all,138.494,>=$5M,63,10.6,668.0,0.731,0.915,0.815,False
5909052,Abbotsford,2024,PRIMARY,Primary,primary,15.26,>=$5M,6,11.5,69.0,0.739,1.167,0.844,False
5909052,Abbotsford,2024,SECONDARY,Secondary,secondary,123.234,>=$5M,57,10.5,599.0,0.73,0.894,0.812,False
5909052,Abbotsford,2025,ALL,All,all,142.117,>=$5M,68,10.1,686.0,0.72,0.957,0.789,False
5909052,Abbotsford,2025,PRIMARY,Primary,primary,15.26,>=$5M,6,11.5,69.0,0.714,1.134,0.8,False
5909052,Abbotsford,2025,SECONDARY,Secondary,secondary,126.857,>=$5M,62,10.0,617.0,0.721,0.942,0.788,False
2446005,Abercorn,2017,ALL,All,all,,<$5M,0,,,,,,True
2446005,Abercorn,2017,PRIMARY,Primary,primary,,<$5M,0,,,,,,True
2446005,Abercorn,2017,SECONDARY,Secondary,secondary,,<$5M,0,,,,,,True
2446005,Abercorn,2018,ALL,All,all,,<$5M,0,,,,,,True
2446005,Abercorn,2018,PRIMARY,Primary,primary,,<$5M,0,,,,,,True
2446005,Abercorn,2018,SECONDARY,Secondary,secondary,,<$5M,0,,,,,,True
2446005,Abercorn,2019,ALL,All,all,,<$5M,0,,,,,,True
2446005,Abercorn,2019,PRIMARY,Primary,primary,,<$5M,0,,,,,,True
2446005,Abercorn,2019,SECONDARY,Secondary,secondary,,<$5M,0,,,,,,True
2446005,Abercorn,2020,ALL,All,all,,<$5M,0,,,,,,True
2446005,Abercorn,2020,PRIMARY,Primary,primary,,<$5M,0,,,,,,True
2446005,Abercorn,2020,SECONDARY,Secondary,secondary,,<$5M,0,,,,,,True
2446005,Abercorn,2021,ALL,All,all,,<$5M,0,,,,,,True
2446005,Abercorn,2021,PRIMARY,Primary,primary,,<$5M,0,,,,,,True
2446005,Abercorn,2021,SECONDARY,Secondary,secondary,,<$5M,0,,,,,,True
2446005,Abercorn,2022,ALL,All,all,,<$5M,0,,,,,,True
2446005,Abercorn,2022,PRIMARY,Primary,primary,,<$5M,0,,,,,,True
2446005,Abercorn,2022,SECONDARY,Secondary,secondary,,<$5M,0,,,,,,True
2446005,Abercorn,2023,ALL,All,all,,<$5M,0,,,,,,True
2446005,Abercorn,2023,PRIMARY,Primary,primary,,<$5M,0,,,,,,True
2446005,Abercorn,2023,SECONDARY,Secondary,secondary,,<$5M,0,,,,,,True
2446005,Abercorn,2024,ALL,All,all,,<$5M,0,,,,,,True
2446005,Abercorn,2024,PRIMARY,Primary,primary,,<$5M,0,,,,,,True
2446005,Abercorn,2024,SECONDARY,Secondary,secondary,,<$5M,0,,,,,,True
2446005,Abercorn,2025,ALL,All,all,,<$5M,0,,,,,,True
2446005,Abercorn,2025,PRIMARY,Primary,primary,,<$5M,0,,,,,,True
2446005,Abercorn,2025,SECONDARY,Secondary,secondary,,<$5M,0,,,,,,True
1311026,Aberdeen,2017,ALL,All,all,1.386,<$5M,2,3.0,6.0,0.808,11.478,6.168,False
1311026,Aberdeen,2017,PRIMARY,Primary,primary,,<$5M,0,,,,,,True
1311026,Aberdeen,2017,SECONDARY,Secondary,secondary,1.386,<$5M,2,3.0,6.0,0.86,11.614,6.433,False
1311026,Aberdeen,2018,ALL,All,all,1.386,<$5M,2,3.0,6.0,0.794,11.442,6.081,False
1311026,Aberdeen,2018,PRIMARY,Primary,primary,,<$5M,0,,,,,,True
1311026,Aberdeen,2018,SECONDARY,Secondary,secondary,1.386,<$5M,2,3.0,6.0,0.844,11.583,6.335,False
1311026,Aberdeen,2019,ALL,All,all,1.386,<$5M,2,3.0,6.0,0.754,10.521,5.043,False
1311026,Aberdeen,2019,PRIMARY,Primary,primary,,<$5M,0,,,,,,True
1311026,Aberdeen,2019,SECONDARY,Secondary,secondary,1.386,<$5M,2,3.0,6.0,0.822,10.671,5.314,False
1311026,Aberdeen,2020,ALL,All,all,1.386,<$5M,2,3.0,6.0,0.597,10.066,3.557,False
1311026,Aberdeen,2020,PRIMARY,Primary,primary,,<$5M,0,,,,,,True
