region_uid,region_name,year,NAICS6,NAICSD,defence_type,total_sales_M,sales_bucket,n_firms,avg_employees,total_jobs,lq_sales,lq_firms,lq_jobs,suppressed
932,Abbotsford - Mission,2017,331110,Iron & Steel Mills & Ferroalloy Manufacturing,secondary,16.506,>=$5M,2,7.5,15.0,0.296,0.616,0.289,False
932,Abbotsford - Mission,2017,334511,Search Detection & Navigation Instruments,primary,36.358,>=$5M,2,49.0,98.0,7.571,5.634,7.294,False
932,Abbotsford - Mission,2017,541330,Engineering Services,secondary,56.595,>=$5M,30,8.2,245.0,0.645,0.744,0.621,False
932,Abbotsford - Mission,2017,541370,Surveying & Mapping (except Geophysical) Services,secondary,8.82,>=$5M,10,6.0,60.0,0.831,1.069,0.801,False
932,Abbotsford - Mission,2017,541511,Custom Computer Programming Services,secondary,5.382,>=$5M,7,3.7,26.0,0.305,0.68,0.293,False
932,Abbotsford - Mission,2017,ALL,All,all,123.661,>=$5M,51,8.7,444.0,0.648,0.781,0.669,False
932,Abbotsford - Mission,2017,PRIMARY,Primary,primary,36.358,>=$5M,2,49.0,98.0,2.791,2.662,3.301,False
932,Abbotsford - Mission,2017,SECONDARY,Secondary,secondary,87.303,>=$5M,49,7.1,346.0,0.491,0.759,0.546,False
932,Abbotsford - Mission,2018,331110,Iron & Steel Mills & Ferroalloy Manufacturing,secondary,16.506,>=$5M,2,7.5,15.0,0.29,0.605,0.284,False
932,Abbotsford - Mission,2018,334511,Search Detection & Navigation Instruments,primary,36.358,>=$5M,2,49.0,98.0,7.069,5.02,6.839,False
932,Abbotsford - Mission,2018,541330,Engineering Services,secondary,74.613,>=$5M,33,9.8,323.0,0.77,0.779,0.744,False
932,Abbotsford - Mission,2018,541370,Surveying & Mapping (except Geophysical) Services,secondary,8.82,>=$5M,10,6.0,60.0,0.821,1.059,0.795,False
932,Abbotsford - Mission,2018,541511,Custom Computer Programming Services,secondary,5.796,>=$5M,7,4.0,28.0,0.323,0.673,0.312,False
932,Abbotsford - Mission,2018,ALL,All,all,142.093,>=$5M,54,9.7,524.0,0.703,0.798,0.742,False
932,Abbotsford - Mission,2018,PRIMARY,Primary,primary,36.358,>=$5M,2,49.0,98.0,2.695,2.491,3.187,False
932,Abbotsford - Mission,2018,SECONDARY,Secondary,secondary,105.735,>=$5M,52,8.2,426.0,0.561,0.778,0.63,False
932,Abbotsford - Mission,2019,331110,Iron & Steel Mills & Ferroalloy Manufacturing,secondary,17.645,>=$5M,3,5.3,16.0,0.31,0.913,0.306,False
932,Abbotsford - Mission,2019,334511,Search Detection & Navigation Instruments,primary,36.358,>=$5M,2,49.0,98.0,6.247,3.932,6.033,False
932,Abbotsford - Mission,2019,541330,Engineering Services,secondary,81.774,>=$5M,38,9.3,354.0,0.659,0.796,0.643,False
932,Abbotsford - Mission,2019,541370,Surveying & Mapping (except Geophysical) Services,secondary,10.584,>=$5M,12,6.0,72.0,0.975,1.248,0.952,False
932,Abbotsford - Mission,2019,541511,Custom Computer Programming Services,secondary,7.038,>=$5M,10,3.4,34.0,0.346,0.87,0.337,False
932,Abbotsford - Mission,2019,ALL,All,all,153.399,>=$5M,65,8.8,574.0,0.643,0.873,0.678,False
932,Abbotsford - Mission,2019,PRIMARY,Primary,primary,36.358,>=$5M,2,49.0,98.0,1.803,1.988,2.231,False
932,Abbotsford - Mission,2019,SECONDARY,Secondary,secondary,117.041,>=$5M,63,7.6,476.0,0.536,0.857,0.593,False
932,Abbotsford - Mission,2020,331110,Iron & Steel Mills & Ferroalloy Manufacturing,secondary,17.645,>=$5M,3,5.3,16.0,0.27,0.921,0.269,False
932,Abbotsford - Mission,2020,334511,Search Detection & Navigation Instruments,primary,36.358,>=$5M,2,49.0,98.0,6.207,3.913,6.036,False
932,Abbotsford - Mission,2020,541330,Engineering Services,secondary,81.774,>=$5M,38,9.3,354.0,0.487,0.792,0.478,False
932,Abbotsford - Mission,2020,541370,Surveying & Mapping (except Geophysical) Services,secondary,10.584,>=$5M,12,6.0,72.0,0.966,1.231,0.951,False
932,Abbotsford - Mission,2020,541511,Custom Computer Programming Services,secondary,8.073,>=$5M,11,3.5,39.0,0.396,0.939,0.389,False
932,Abbotsford - Mission,2020,ALL,All,all,154.434,>=$5M,66,8.8,579.0,0.531,0.88,0.556,False
932,Abbotsford - Mission,2020,PRIMARY,Primary,primary,36.358,>=$5M,2,49.0,98.0,1.846,1.946,2.345,False
932,Abbotsford - Mission,2020,SECONDARY,Secondary,secondary,118.076,>=$5M,64,7.5,481.0,0.436,0.865,0.481,False
932,Abbotsford - Mission,2021,331110,Iron and Steel Mills and Ferroalloy Manufacturing,secondary,17.645,>=$5M,3,5.3,16.0,0.347,1.036,0.332,False
