region_uid,region_name,year,tier,object_sector,total_value,total_value_real,n_contracts,n_vendors
10,Newfoundland and Labrador,2016,ALL,ALL,843738.7000000001,1078986.717601246,26,13
10,Newfoundland and Labrador,2017,ALL,ALL,12415783.92,15633985.580245398,198,60
10,Newfoundland and Labrador,2018,ALL,ALL,13736873.41,16908505.35173913,171,69
10,Newfoundland and Labrador,2019,ALL,ALL,14453875.23,17450928.770338234,167,64
10,Newfoundland and Labrador,2020,ALL,ALL,35630461.81,42704538.899284676,126,69
10,Newfoundland and Labrador,2021,ALL,ALL,18899126.86,21915512.926638417,177,64
10,Newfoundland and Labrador,2022,ALL,ALL,67575003.16,73385023.27296297,218,81
10,Newfoundland and Labrador,2023,ALL,ALL,65498072.23,68458201.52874602,202,63
10,Newfoundland and Labrador,2024,ALL,ALL,96257772.16,98231983.77049097,198,57
10,Newfoundland and Labrador,2025,ALL,ALL,44775455.19,44775455.19,591,161
10,Newfoundland and Labrador,2026,ALL,ALL,15338846.88,15009765.540500594,300,105
11,Prince Edward Island,2016,ALL,ALL,51189.3,65461.70607476635,2,2
11,Prince Edward Island,2017,ALL,ALL,72066.91,90746.82992331288,3,3
11,Prince Edward Island,2018,ALL,ALL,1867118.91,2298207.833748126,11,11
11,Prince Edward Island,2019,ALL,ALL,781527.78,943579.8637941176,13,12
11,Prince Edward Island,2020,ALL,ALL,10119609.93,12128758.762817519,15,12
11,Prince Edward Island,2021,ALL,ALL,1990755.85,2308489.481426554,28,12
11,Prince Edward Island,2022,ALL,ALL,1255694.67,1363657.8360714286,22,11
11,Prince Edward Island,2023,ALL,ALL,1810702.01,1892535.1371228518,32,19
11,Prince Edward Island,2024,ALL,ALL,610314.75,622832.0817277812,19,10
11,Prince Edward Island,2025,ALL,ALL,2141187.99,2141187.99,28,19
11,Prince Edward Island,2026,ALL,ALL,345119.12,337714.89573301544,7,3
12,Nova Scotia,2016,ALL,ALL,21253086.04,27178790.714704048,111,54
12,Nova Scotia,2017,ALL,ALL,258763514.35,325835652.2720092,818,244
12,Nova Scotia,2018,ALL,ALL,165597350.8,203831221.89925036,1068,270
12,Nova Scotia,2019,ALL,ALL,1494586910.23,1804493901.9100442,968,267
12,Nova Scotia,2020,ALL,ALL,703618478.17,843314993.5438977,1031,251
12,Nova Scotia,2021,ALL,ALL,934506717.03,1083658212.827161,1229,297
12,Nova Scotia,2022,ALL,ALL,221574113.69,240624798.06810847,1393,352
12,Nova Scotia,2023,ALL,ALL,451487763.04,471892365.95269257,1638,440
12,Nova Scotia,2024,ALL,ALL,3897231466.74,3977162255.0572276,1548,415
12,Nova Scotia,2025,ALL,ALL,11071250646.93,11071250646.93,2072,520
12,Nova Scotia,2026,ALL,ALL,46947018.9,45939812.29666269,586,237
13,New Brunswick,2016,ALL,ALL,6278317.45,8028814.059890965,171,34
13,New Brunswick,2017,ALL,ALL,41524536.73,52287798.55111963,594,116
13,New Brunswick,2018,ALL,ALL,49804358.96,61303416.351064466,660,127
13,New Brunswick,2019,ALL,ALL,88146814.54,106424315.79020588,614,127
13,New Brunswick,2020,ALL,ALL,57263510.44,68632616.16239417,542,123
13,New Brunswick,2021,ALL,ALL,175814671.66,203875487.89951977,620,153
13,New Brunswick,2022,ALL,ALL,89811335.63,97533209.72517197,654,181
13,New Brunswick,2023,ALL,ALL,253974460.7,265452619.01298538,813,212
13,New Brunswick,2024,ALL,ALL,97344546.23,99341047.17816034,841,203
13,New Brunswick,2025,ALL,ALL,211446420,211446420,1032,270
13,New Brunswick,2026,ALL,ALL,23719031.69,23210160.92668653,248,90
