region_uid,region_name,year,NAICS6,NAICSD,defence_type,total_sales_M,total_sales_M_real,sales_bucket,n_firms,avg_employees,total_jobs,lq_sales,lq_firms,lq_jobs,suppressed
5909052,Abbotsford,2017,331110,Iron & Steel Mills & Ferroalloy Manufacturing,secondary,16.506,20.784,>=$5M,2,7.5,15.0,0.273,0.744,0.281,False
5909052,Abbotsford,2017,334511,Search Detection & Navigation Instruments,secondary,36.358,45.782,>=$5M,2,49.0,98.0,10.773,7.245,10.729,False
5909052,Abbotsford,2017,541330,Engineering Services,secondary,54.978,69.228,>=$5M,27,8.8,238.0,0.34,0.766,0.343,False
5909052,Abbotsford,2017,541370,Surveying & Mapping (except Geophysical) Services,secondary,4.704,5.923,<$5M,7,4.6,32.0,0.475,0.82,0.48,False
5909052,Abbotsford,2017,541511,Custom Computer Programming Services,secondary,6.417,8.08,>=$5M,8,3.9,31.0,0.398,1.001,0.401,False
5909052,Abbotsford,2017,ALL,All,all,118.963,149.799,>=$5M,46,9.0,414.0,0.418,0.811,0.427,False
5909052,Abbotsford,2017,SECONDARY,Secondary,secondary,118.963,149.799,>=$5M,46,9.0,414.0,0.421,0.814,0.429,False
5909052,Abbotsford,2018,331110,Iron & Steel Mills & Ferroalloy Manufacturing,secondary,16.506,20.317,>=$5M,2,7.5,15.0,0.232,0.729,0.24,False
5909052,Abbotsford,2018,334511,Search Detection & Navigation Instruments,secondary,36.358,44.753,>=$5M,2,49.0,98.0,9.501,6.223,9.498,False
5909052,Abbotsford,2018,541330,Engineering Services,secondary,73.92,90.987,>=$5M,30,10.7,320.0,0.551,0.819,0.558,False
5909052,Abbotsford,2018,541370,Surveying & Mapping (except Geophysical) Services,secondary,4.704,5.79,<$5M,7,4.6,32.0,0.467,0.809,0.473,False
5909052,Abbotsford,2018,541511,Custom Computer Programming Services,secondary,6.831,8.408,>=$5M,8,4.1,33.0,0.425,0.998,0.43,False
5909052,Abbotsford,2018,ALL,All,all,138.319,170.255,>=$5M,49,10.2,498.0,0.517,0.839,0.579,False
5909052,Abbotsford,2018,SECONDARY,Secondary,secondary,138.319,170.255,>=$5M,49,10.2,498.0,0.522,0.843,0.583,False
5909052,Abbotsford,2019,331110,Iron & Steel Mills & Ferroalloy Manufacturing,secondary,16.506,19.929,>=$5M,2,7.5,15.0,0.249,0.761,0.26,False
5909052,Abbotsford,2019,334511,Search Detection & Navigation Instruments,secondary,36.358,43.897,>=$5M,2,49.0,98.0,7.726,4.833,7.831,False
5909052,Abbotsford,2019,541330,Engineering Services,secondary,81.081,97.893,>=$5M,35,10.0,351.0,0.61,0.898,0.624,False
5909052,Abbotsford,2019,541370,Surveying & Mapping (except Geophysical) Services,secondary,6.468,7.809,>=$5M,9,4.9,44.0,0.642,1.021,0.657,False
5909052,Abbotsford,2019,541511,Custom Computer Programming Services,secondary,8.073,9.747,>=$5M,11,3.5,39.0,0.46,1.269,0.47,False
5909052,Abbotsford,2019,ALL,All,all,148.486,179.275,>=$5M,59,9.3,547.0,0.566,0.959,0.645,False
5909052,Abbotsford,2019,SECONDARY,Secondary,secondary,148.486,179.275,>=$5M,59,9.3,547.0,0.572,0.964,0.65,False
5909052,Abbotsford,2020,331110,Iron & Steel Mills & Ferroalloy Manufacturing,secondary,16.506,19.783,>=$5M,2,7.5,15.0,0.252,0.768,0.265,False
5909052,Abbotsford,2020,334511,Search Detection & Navigation Instruments,secondary,36.358,43.577,>=$5M,2,49.0,98.0,7.555,4.889,7.706,False
5909052,Abbotsford,2020,541330,Engineering Services,secondary,81.081,97.179,>=$5M,35,10.0,351.0,0.476,0.887,0.493,False
5909052,Abbotsford,2020,541370,Surveying & Mapping (except Geophysical) Services,secondary,6.468,7.752,>=$5M,9,4.9,44.0,0.632,0.999,0.653,False
