"","Year","Canada","United_States_Export_Total"
"1",1950,216,1447
"2",1951,235,3988
"3",1952,973,6987
"4",1953,1586,9791
"5",1954,932,6350
"6",1955,1364,7081
"7",1956,675,8606
"8",1957,255,8411
"9",1958,196,9335
"10",1959,204,7293
"11",1960,166,6127
"12",1961,1571,6287
"13",1962,1192,6127
"14",1963,940,9425
"15",1964,708,12490
"16",1965,487,12000
"17",1966,306,8944
"18",1967,104,7437
"19",1968,261,8619
"20",1969,497,11632
"21",1970,623,8350
"22",1971,457,11606
"23",1972,303,10674
"24",1973,54,12003
"25",1974,229,12742
"26",1975,195,15342
"27",1976,13,15714
"28",1977,13,14324
"29",1978,13,13513
"30",1979,31,9786
"31",1980,380,10651
"32",1981,391,13648
"33",1982,218,13965
"34",1983,646,13826
"35",1984,654,11890
"36",1985,848,10763
"37",1986,826,11611
"38",1987,765,12191
"39",1988,656,12029
"40",1989,11,11349
"41",1990,18,10704
"42",1991,424,12580
"43",1992,117,14141
"44",1993,113,13763
"45",1994,312,11464
"46",1995,325,11224
"47",1996,312,10781
"48",1997,258,14472
"49",1998,66,15839
"50",1999,103,11548
"51",2000,171,7678
"52",2001,84,5591
"53",2002,38,4872
"54",2003,56,5684
"55",2004,71,6869
"56",2005,90,6724
"57",2006,68,7497
"58",2007,401,7870
"59",2008,350,7089
"60",2009,102,7151
"61",2010,210,8354
"62",2011,331,9041
"63",2012,191,8965
"64",2013,170,7770
"65",2014,202,9455
"66",2015,316,10314
"67",2016,147,9890
"68",2017,221,11381
"69",2018,90,9264
"70",2019,80,10498
"71",2020,54,9730
"72",2021,39,11601
"73",2022,45,14505
"74",2023,27,10920
"75",2024,119,13651
"76",2025,67,13980
