"Type.of.Sale","Amount","Year","Amount_num","Amount_real"
"Sales to New Zealand","2,965,172",2020,2965172,3553877.68175182
"Sales to Asia and Oceania - Other than Australia & New Zealand","454,006,753",2020,454006753,544145320.018978
"Sales to Asia and Oceania - Other than Australia & New Zealand","422,051,367",2022,422051367,458338852.257937
"Domestic breakdown not specified","36,208,501",2020,36208501,43397342.0744526
"Sales to Asia and Oceania - Other than Australia & New Zealand"," 377,864,839 ",2024,377864839,385614708.289621
"Sales to Australia","68,312,835",2020,68312835,81875675.2335766
"Sales to Australia","47,164,166",2022,47164166,51219286.0925926
"Sales to Australia"," 57,520,537 ",2024,57520537,58700262.1218148
"
Sales to Central America, the Caribbean, Mexico and South America","184,818,726",2020,184818726,221512662.840876
"Sales to Canadian federal government","4,363,056,798",2020,4363056798,5229298731.61752
"Sales to Canadian federal government","5,127,023,843",2022,5127023843,5567839385.05688
"Sales to Canadian federal government","3,295,983,635",2018,3295983635,4056975358.82309
"Sales to Canadian federal government","2,307,170,956",2016,2307170956,2950447593.2648
"Sales to Canadian federal government"," 6,422,987,972 ",2024,6422987972,6554721100.07707
"Sales to Central America, the Caribbean, and South America","146,626,830",2018,146626830,180480700.794603
"Sales to Central America, the Caribbean, and South America","74,266,264",2016,74266264,94972901.470405
"Sales to Central America, the Caribbean, Mexico and South America","157,587,656",2022,157587656,171136859.227513
"Sales to Central America, the Caribbean, Mexico and South America"," 163,599,919 ",2024,163599919,166955293.348664
"Domestic breakdown not specified"," 76,500,755 ",2024,76500755,78069757.4331883
"Sales to Europe other than United Kingdom","672,894,201",2020,672894201,806490713.89927
"Sales to Europe other than United Kingdom","724,932,449",2022,724932449,787261297.128307
"Sales to Europe other than United Kingdom","530,128,711",2018,530128711,652527243.974513
"Sales to Europe other than United Kingdom","582,481,680",2016,582481680,744887008.224299
"Sales to Europe other than United Kingdom"," 1,307,256,636 ",2024,1307256636,1334067990.24984
"Sales to Middle East and Africa","1,729,372,701",2020,1729372701,2072722609.51971
"Sales to Middle East and Africa","835,359,243",2022,835359243,907182458.337302
"Sales to Middle East and Africa","1,820,856,407",2018,1820856407,2241264033.2039
"Sales to Middle East and Africa","2,199,540,359",2016,2199540359,2812807842.27259
"Sales to Middle East and Africa"," 677,024,603 ",2024,677024603,690910129.35115
"Sales to New Zealand","2,314,093",2022,2314093,2513056.02248677
