"Goods.and.Services","Year","Sales.of.Goods.and.Services","Sales_real"
"Aircraft Fabrication, Structures and Components",2016,715820247,915402527.705607
"Aircraft Mission Systems and Simulation Systems",2016,1325612266,1695214439.85358
"Ammunition, Missiles, and Rockets",2016,536351728,685895278.330218
"Combat Vehicles Maintenance and Repair Services",2016,369422795,472423854.665109
"Combat Vehicles and Components",2016,2352297053,3008155577.12305
"Land-Based Mission Systems and Simulation Systems",2016,561105881,717551290.188473
"Military Aircraft Maintenance and Repair Services",2016,1113387239,1423817637.41277
"Military Personal Protective Equipment, Load Carriage Systems and Operational Clothing",2016,98418251,125858853.693146
"Military Space Systems and Launch Vehicles",2016,18863894,24123453.2305296
"Military Training Services",2016,363119993,464363729.366044
"Naval Ship Maintenance and Repair Services",2016,645451983,825414451.780374
"Naval Ships' Structural Elements, Platform Systems, Parts and Components",2016,101680590,130030785.654206
"Naval Vessel Construction, Conversions, Architecture, Engineering and Related Services",2016,638308073,816278703.945483
"Naval Vessel Mission Systems and Simulation Systems",2016,528311749,675613622.942368
"Other Defence",2016,649516359,830612041.649533
"Unmanned Aerial Systems/Vehicles and Components",2016,69910408,89402562.2554517
"Aircraft Fabrication, Structures and Components",2018,738691929,909244488.31934
"Aircraft Mission Systems and Simulation Systems",2018,1684790653,2073782797.77061
"Ammunition, Missiles, and Rockets",2018,436935300,537816913.493253
"Combat Vehicles Maintenance and Repair Services",2018,479805115,590584706.769115
"Combat Vehicles and Components",2018,1751447519,2155829704.7961
"Firearms and Other Weapons",2018,109090331,134277603.824588
"Land-Based Mission Systems and Simulation Systems",2018,746629806,919015098.53973
"Military Aircraft Maintenance and Repair Services",2018,1203557655,1481440531.86657
"Military Personal Protective Equipment, Load Carriage Systems and Operational Clothing",2018,189319835,233030861.371814
"Military Space Systems and Launch Vehicles",2018,81824130,100716058.065967
"Military Training Services",2018,504598002,621101888.518741
"Naval Ship Maintenance and Repair Services",2018,529330433,651544655.911544
"Naval Ships' Structural Elements, Platform Systems, Parts and Components",2018,452634325,557140600.937032
"Naval Vessel Construction, Conversions, Architecture, Engineering and Related Services",2018,660649157,813182845.422789
"Naval Vessel Mission Systems and Simulation Systems",2018,496661972,611333551.742129
"Other Defence",2018,526581850,648161467.541229
"Unmanned Aerial Systems/Vehicles and Components",2018,87304058,107461216.818591
"Aircraft Fabrication, Structures and Components",2020,1416086478,1697236494.07007
"Aircraft Mission Systems and Simulation Systems",2020,1607222810,1926321061.32847
"Ammunition, Missiles, and Rockets",2020,535257333,641527402.033577
"Combat Vehicles Maintenance and Repair Services",2020,303021503,363183436.442336
"Combat Vehicles and Components",2020,2131512853,2554703726.00438
"Firearms and Other Weapons",2020,106350078,127464838.011679
"Land-Based Mission Systems and Simulation Systems",2020,868270985,1040657633.11679
"Military Aircraft Maintenance and Repair Services",2020,1339505777,1605451449.51387
"Military Personal Protective Equipment, Load Carriage Systems and Operational Clothing",2020,166503552,199561191.521168
"Military Space Systems and Launch Vehicles",2020,70704636,84742344.7532847
"Military Training Services",2020,355998765,426678811.773723
"Naval Ship Maintenance and Repair Services",2020,775234432,929149589.30219
"Naval Ships' Structural Elements, Platform Systems, Parts and Components",2020,415459845,497945303.277372
