Advanced Communication and Information,,Primary / Secondary,8 Digits only (Y if so),2022 NAICS,2017 NAICS,,
,,,,,,,ISED Source
517810,All Other Telecommunications,Secondary,,,,,Purdue sources
541513,Computer Facilities Management Services,Secondary,,,,,Identified by Sarah
541512,Computer Systems Design Services,Secondary,,,,,Note: 8 digit codes are taken from the SIC NAICS crosswalk file.
518210,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",Secondary,,,,,
541511,Custom Computer Programming Services,Secondary,,,,,
334290,Other Communications Equipment Manufacturing,Secondary,,,,,
541519,Other Computer Related Services,Secondary,,,,,
237130,Power and Communication Line and Related Structures Construction,Secondary,,,,,
517410,Satellite Telecommunications,Secondary,,,,,
519290,Web Search Portals and All Other Information Services,Secondary- exclude?,,,,,
517111,Wired Telecommunications Carriers,Secondary,,,,,
517112,Wireless Telecommunications Carriers (except Satellite),Secondary,,,,,
541510,Computer Systems Design and Related Services,Secondary,,,,,
541370,Surveying and mapping,Secondary,,,,,
334220,Radio & TV Broadcasting & Wireless Communications Equipment Mfg,Secondary,,,,,
417320,"Electronic Components, Navigational & Communications Equipment Wholesale",Secondary,,,,,
513211,Software Publishers (except video game publishers),Secondary,,513211,511211,,
541514,Computer Systems Design & Related Services,Secondary,,,,,
335920,Communication & Energy Wire & Cable Mfg,Secondary,,,,,
"Advanced Equipment, Transport, and Weapons Systems",,,,,,,
336412,Aircraft Engine and Engine Parts Manufacturing,Secondary,,,,,
336411,Aircraft Manufacturing,Secondary,,,,,
488999,All Other Support Activities for Transportation,Secondary,,,,,
336999,All Other Transportation Equipment Manufacturing,Secondary,,,,,
336612,Boat Building,Secondary,,,,,
332912,Fluid Power Valve and Hose Fitting Manufacturing,Secondary,,,,,
336414,Guided Missile and Space Vehicle Manufacturing,Primary,,,,,
336415,Guided Missile and Space Vehicle Propulsion Unit and Propulsion Unit Parts Manufacturing,Primary,,,,,
336992,"Military Armored Vehicle, Tank, and Tank Component Manufacturing",Primary,,,,,
336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing,Secondary,,,,,
336419,Other Guided Missile and Space Vehicle Parts and Auxiliary Equipment Manufacturing,Primary,,,,,
334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical Systems Manufacturing",Secondary,,,,,
336611,Ship Building and Repairing,Secondary,,,,,
339113,Surgical Appliance and Supplies Manufacturing,Secondary,,,,,
333314,Optical lens,Secondary,,,,,
325210,Resin and Synthetic Rubber Manufacturing,Secondary,,,,,
336410,Aerospace Product and Parts Manufacturing,Secondary,,,,,
336990,Other transportation equipment manufacturing (note: we have 336992 which is a more specific version of this),Secondary,,,,,
331317,"Aluminum Rolling, Drawing, Extruding and Alloying",Secondary,,,,,
331221,Cold-Rolled Steel Shape Manufacturing,Secondary,,,,,
331110,Iron and Steel Mills and Ferro-Alloy Manufacturing,Secondary,,,,,
333990,All Other General-Purpose Machinery Manufacturing,Secondary,,,,,
334610,Manufacturing and Reproducing Magnetic and Optical Media,Secondary,,,,,
42384044,Missile & Rocket Equip Wholesale,Primary,Y,,,,
334512,"Measuring, Medical & Controlling Devices Mfg",Secondary,,,,,
335 (broad),"Electrical Equipment, Appliance & Component Mfg",Secondary,,,,,
3353,Electrical Equipment Mfg,Secondary,,,,,
333519,Other Metalworking Machinery Mfg,Secondary,,,,,
3339,Other General-Purpose Machinery Mfg,Secondary,,,,,
417230,"Industrial Machinery, Equipment & Supplies Merchant Wholesalers",Secondary,,,,,
417930,"Professional Machinery, Equipment & Supplies Wholesalers",Secondary,,,,,
417990,"All Other Machinery, Equipment & Supplies Wholesalers",Secondary,,,,,
811310,Commercial & Industrial Machinery & Equipment Repair & Maintenance,Secondary,,,,,
488190,Other Support Activities for Air Transportation,Secondary,,,,,
488390,Other Support Activities for Water Transportation,Secondary,,,,,
Armed Force and Diplomacy,,,,,,,
928120,International Affairs,Secondary,,,,,
928110,National Security,Primary,,,,,
926120,Regulation and Administration of Transportation Programs,Secondary,,,,,
911110,Defence services,Primary,,,,,
Arms Ordnance and Ammunition,,,,,,,
332993,Ammunition (except Small Arms) Manufacturing,Primary,,,,,
325920,Explosives Manufacturing,Primary,,,,,
212290,Other Metal Ore Mining,Secondary,,,,,
332992,Small Arms Ammunition Manufacturing,Primary,,,,,
332994,"Small Arms, Ordnance, and Ordnance Accessories Manufacturing",Primary,,,,,
42393002,Ammunition Disassembly/Recycling,Primary,Y,,,,
42391001,Ammunition Wholesale ,Primary,Y,,,,
32599803,Missile & Rocket Fuels,Primary,Y,,,,
Scientific and Technical Research,,,,,,,
541690,Other Scientific and Technical Consulting Services,Secondary,,,,,
541714,Research and Development in Biotechnology (except Nanobiotechnology),Secondary,,,,,
541713,Research and Development in Nanotechnology,Secondary,,,,,
541715,"Research and Development in the Physical, Engineering, and Life Sciences",Secondary,,,,,
541720,Research and Development in the Social Sciences and Humanities,Secondary,,,,,
927110,Space Research and Technology,Secondary,,,,,
54133083,Ordnance Engineers,Primary,Y,,,,
541330,Engineering services,Secondary,,,,,
334110,Computer and Peripheral Equipment Manufacturing,Secondary,,,,,
334410,Semiconductor and Other Electronic Component Manufacturing,Secondary,,,,,
333310,Commercial and service industry machinery manufacturing (this includes flight simulators),Secondary,,,,,
541710,"R&D in Physical, Engineering & Life Sciences",Secondary,,,,,
611510,Technical & Trade Schools,Secondary,,,,,
