Size,Amount,Year,Enterprises' % of total Defence industry sales ,Enterprises' % of total Defence industry exports ,Enterprises' % of total Defence industry employment ,Enterprises' % of total Defence industry R&D 
   Enterprises with less than 100 employees,377,2024,11,7.7,12.4,13.9
   Enterprises with between 100 and 249 employees,85,2024,8.7,10.4,12.3,9.4
   Enterprises with between 250 and 499 employees,32,2024,10,7.8,12.9,5.4
   Enterprises with 500 or more employees,44,2024,70.2,74.1,62.4,71.4
   Enterprises with less than 100 employees,411,2022,9.3,7.2,12.4,13.6
   Enterprises with between 100 and 249 employees,94,2022,10,10.1,13.6,9
   Enterprises with between 250 and 499 employees,37,2022,11.7,12,12.7,8.6
   Enterprises with 500 or more employees,44,2022,69.1,70.6,61.2,68.9
   Enterprises with less than 100 employees,462,2020,10.7,8.3,13.7,13.9
   Enterprises with between 100 and 249 employees,85,2020,11.3,10.2,14.5,9.1
   Enterprises with between 250 and 499 employees,38,2020,11.3,12.3,11.8,8.2
   Enterprises with 500 or more employees,39,2020,66.7,69.2,60,68.8
   Enterprises with less than 100 employees,485,2018,11.7,7.9,15.5,15
   Enterprises with between 100 and 249 employees,85,2018,11.6,11.4,15.4,7.3
   Enterprises with between 250 and 499 employees,31,2018,12.1,12.4,10.9,9.3
   Enterprises with 500 or more employees,38,2018,64.6,68.4,58.2,68.5
   Enterprises with less than 100 employees,529,2016,13.20458592,8.97732084,14.62254275,8.682275501
   Enterprises with between 100 and 249 employees,73,2016,10.32624785,9.960234379,13.16389438,8.669687352
   Enterprises with between 250 and 499 employees,30,2016,12.55462598,16.11080864,11.65173898,7.585462908
   Enterprises with 500 or more employees,32,2016,63.91454026,64.95163614,60.56182389,75.06257424
