"CONAME","lat","long","NAICS6","NAICSD","sales_M","employees","PUBPRV","HDBRCH","is_hq","STATE","STCITY","year"
"G Michaels Consulting Ltd",53.512252,-113.520098,541330,"Engineering Services",3.234,14,NA,NA,TRUE,"AB","Edmonton",2017
"Niven Fischer Energy Svc",51.0488226,-114.073211,541330,"Engineering Services",0.462,2,NA,NA,TRUE,"AB","Calgary",2017
"Olynyk Acoustic Engineer",53.5272775,-113.4652276,541330,"Engineering Services",1.848,8,NA,NA,TRUE,"AB","Edmonton",2017
"Able Compressor Svc",51.014424,-114.034467,541330,"Engineering Services",0.231,1,NA,NA,TRUE,"AB","Calgary",2017
"Absolute Systems Inc",53.55439,-113.632008,541330,"Engineering Services",2.772,12,NA,NA,TRUE,"AB","Edmonton",2017
"Grey Owl Engineering Ltd",51.0459894,-114.0799615,541330,"Engineering Services",4.62,20,NA,NA,TRUE,"AB","Calgary",2017
"Acorn Consulting Engineering",51.044581,-114.1057715,541330,"Engineering Services",2.079,9,NA,NA,TRUE,"AB","Calgary",2017
"RPS Energy",51.0496618,-114.0723191,541330,"Engineering Services",11.55,50,NA,NA,TRUE,"AB","Calgary",2017
"Adart Engineering Svc Ltd",51.04955,-114.186935,541330,"Engineering Services",1.617,7,NA,NA,TRUE,"AB","Calgary",2017
"Adem Engineering Ltd",51.010143,-114.034615,541330,"Engineering Services",1.386,6,NA,NA,TRUE,"AB","Calgary",2017
"Al Neufeld Consulting Ltd",51.11978,-114.171747,541330,"Engineering Services",0.231,1,NA,NA,TRUE,"AB","Calgary",2017
"Al-Terra Engineering Ltd",52.266308,-113.814039,541330,"Engineering Services",4.62,20,NA,NA,TRUE,"AB","Red Deer",2017
"Al-Terra Engineering Ltd",53.519502,-113.425859,541330,"Engineering Services",5.082,22,NA,NA,TRUE,"AB","Edmonton",2017
"Alexander Mac Taggart Alberta",53.533972,-113.444831,541370,"Surveying & Mapping (except Geophysical) Services",0.441,3,NA,NA,TRUE,"AB","Edmonton",2017
"All-Can Engineering & Surveys",51.044401,-114.100386,541370,"Surveying & Mapping (except Geophysical) Services",12.495,85,NA,NA,TRUE,"AB","Calgary",2017
"Altus Geomatics LP",51.0470728,-114.0805162,541370,"Surveying & Mapping (except Geophysical) Services",8.82,60,2,2,FALSE,"AB","Calgary",2017
"Allen Wasnea Engineering Ltd",53.537256,-113.501262,541330,"Engineering Services",1.155,5,NA,NA,TRUE,"AB","Edmonton",2017
"Almor Testing Svc Ltd",50.987696,-113.976554,541330,"Engineering Services",8.085,35,NA,NA,TRUE,"AB","Calgary",2017
"Alphamet Metallurgical",53.476545,-113.467776,541330,"Engineering Services",3.927,17,NA,NA,TRUE,"AB","Edmonton",2017
"Altacan Surveying & Engrng Ltd",53.5120109,-113.4978419,541370,"Surveying & Mapping (except Geophysical) Services",0.441,3,NA,NA,TRUE,"AB","Edmonton",2017
"Pro West Land Svc Ltd",51.048089,-114.081222,541370,"Surveying & Mapping (except Geophysical) Services",0.588,4,NA,NA,TRUE,"AB","Calgary",2017
"Amtech Aeronautical Ltd",50.036878,-110.696713,541330,"Engineering Services",4.62,20,NA,NA,TRUE,"AB","Medicine Hat",2017
"Antelope Land Svc Ltd",51.044401,-114.100386,541370,"Surveying & Mapping (except Geophysical) Services",0.735,5,NA,NA,TRUE,"AB","Calgary",2017
"Arcos Acoustical Consulting",51.06084,-114.126259,541330,"Engineering Services",0.462,2,NA,NA,TRUE,"AB","Calgary",2017
"Dnv Energy Canada",51.093253,-113.994407,541330,"Engineering Services",8.778,38,NA,NA,TRUE,"AB","Calgary",2017
"Associated Engineering",49.69415,-112.841472,541330,"Engineering Services",3.696,16,NA,2,FALSE,"AB","Lethbridge",2017
"Associated Engineering",51.150636,-114.202322,541330,"Engineering Services",23.1,100,NA,2,FALSE,"AB","Calgary",2017
"Aurian Consulting Ltd",51.0917795,-114.031341,541370,"Surveying & Mapping (except Geophysical) Services",1.47,10,NA,NA,TRUE,"AB","Calgary",2017
"Azimuthal Surveys Ltd",53.4620662,-113.4355664,541370,"Surveying & Mapping (except Geophysical) Services",0.294,2,NA,NA,TRUE,"AB","Edmonton",2017
"B M Potter Consultants Ltd",51.076997,-114.011656,541330,"Engineering Services",2.772,12,NA,NA,TRUE,"AB","Calgary",2017
"D A Watt Consulting",51.056761,-113.991305,541330,"Engineering Services",17.325,75,NA,NA,TRUE,"AB","Calgary",2017
"Barbara Howes Petroleum Inc",51.113579,-114.161711,541330,"Engineering Services",0.231,1,NA,NA,TRUE,"AB","Calgary",2017
