region_uid,region_name,year,NAICS6,NAICSD,defence_type,total_sales_M,sales_bucket,n_firms,avg_employees,total_jobs,lq_sales,lq_firms,lq_jobs,suppressed
48,Alberta,2017,325920,Explosives Manufacturing,primary,,<$5M,<2,,,,,,True
48,Alberta,2017,331110,Iron & Steel Mills & Ferroalloy Manufacturing,secondary,1418.055,>=$5M,68,18.3,1245.0,0.9,0.905,0.981,False
48,Alberta,2017,331221,Rolled Steel Shape Manufacturing,secondary,,>=$5M,<2,,,,,,True
48,Alberta,2017,334511,Search Detection & Navigation Instruments,primary,35.616,>=$5M,3,32.0,96.0,0.291,0.435,0.323,False
48,Alberta,2017,336411,Aircraft Manufacturing,primary,13.31,>=$5M,7,3.1,22.0,0.105,0.997,0.116,False
48,Alberta,2017,336611,Ship Building & Repairing,secondary,,<$5M,<2,,,,,,True
48,Alberta,2017,336612,Boat Building,secondary,1.782,<$5M,2,4.5,9.0,0.022,0.074,0.025,False
48,Alberta,2017,336992,"Military Armored Vehicle, Tank & Tank Cmpnnt Mfg",primary,89.598,>=$5M,3,36.3,109.0,4.143,4.132,4.607,False
48,Alberta,2017,336999,All Other Transportation Equipment Manufacturing,primary,,<$5M,<2,,,,,,True
48,Alberta,2017,541330,Engineering Services,secondary,4112.724,>=$5M,1251,14.2,17804.0,1.816,1.464,2.017,False
48,Alberta,2017,541370,Surveying & Mapping (except Geophysical) Services,secondary,573.3,>=$5M,335,11.6,3900.0,1.818,1.403,2.022,False
48,Alberta,2017,541511,Custom Computer Programming Services,secondary,251.505,>=$5M,173,7.0,1215.0,0.554,0.819,0.615,False
48,Alberta,2017,ALL,All,all,6833.534,>=$5M,1846,13.5,24830.0,1.337,1.283,1.621,False
48,Alberta,2017,PRIMARY,Primary,primary,142.292,>=$5M,15,15.9,239.0,0.457,0.892,0.378,False
48,Alberta,2017,SECONDARY,Secondary,secondary,6691.242,>=$5M,1831,13.4,24591.0,1.394,1.287,1.674,False
48,Alberta,2018,325920,Explosives Manufacturing,primary,3.23,<$5M,2,5.0,10.0,0.571,1.257,0.633,False
48,Alberta,2018,331110,Iron & Steel Mills & Ferroalloy Manufacturing,secondary,1553.596,>=$5M,72,18.9,1364.0,0.979,0.937,1.063,False
48,Alberta,2018,331221,Rolled Steel Shape Manufacturing,secondary,,>=$5M,<2,,,,,,True
48,Alberta,2018,334511,Search Detection & Navigation Instruments,primary,44.149,>=$5M,4,29.8,119.0,0.343,0.519,0.381,False
48,Alberta,2018,336411,Aircraft Manufacturing,primary,13.31,>=$5M,7,3.1,22.0,0.104,0.97,0.116,False
48,Alberta,2018,336611,Ship Building & Repairing,secondary,,<$5M,<2,,,,,,True
48,Alberta,2018,336612,Boat Building,secondary,1.782,<$5M,2,4.5,9.0,0.023,0.075,0.025,False
48,Alberta,2018,336992,"Military Armored Vehicle, Tank & Tank Cmpnnt Mfg",primary,89.598,>=$5M,3,36.3,109.0,4.143,4.086,4.592,False
48,Alberta,2018,336999,All Other Transportation Equipment Manufacturing,primary,,<$5M,<2,,,,,,True
48,Alberta,2018,541330,Engineering Services,secondary,4530.007,>=$5M,1332,14.7,19611.0,1.827,1.474,2.023,False
48,Alberta,2018,541370,Surveying & Mapping (except Geophysical) Services,secondary,562.569,>=$5M,338,11.3,3827.0,1.776,1.386,1.968,False
48,Alberta,2018,541511,Custom Computer Programming Services,secondary,250.47,>=$5M,172,7.0,1210.0,0.551,0.803,0.611,False
48,Alberta,2018,ALL,All,all,7383.771,>=$5M,1935,13.8,26703.0,1.381,1.29,1.645,False
48,Alberta,2018,PRIMARY,Primary,primary,151.471,>=$5M,17,15.5,264.0,0.476,0.932,0.406,False
48,Alberta,2018,SECONDARY,Secondary,secondary,7232.3,>=$5M,1918,13.8,26439.0,1.439,1.295,1.697,False
48,Alberta,2019,325920,Explosives Manufacturing,primary,15.504,>=$5M,6,8.0,48.0,1.654,2.093,1.876,False
48,Alberta,2019,331110,Iron & Steel Mills & Ferroalloy Manufacturing,secondary,1554.735,>=$5M,73,18.7,1365.0,0.896,0.945,0.997,False
48,Alberta,2019,331221,Rolled Steel Shape Manufacturing,secondary,,>=$5M,<2,,,,,,True
48,Alberta,2019,334511,Search Detection & Navigation Instruments,primary,54.908,>=$5M,6,24.7,148.0,0.342,0.571,0.384,False
48,Alberta,2019,336411,Aircraft Manufacturing,primary,263.175,>=$5M,8,54.4,435.0,0.822,1.015,0.932,False
48,Alberta,2019,336611,Ship Building & Repairing,secondary,,<$5M,<2,,,,,,True
48,Alberta,2019,336612,Boat Building,secondary,1.782,<$5M,2,4.5,9.0,0.022,0.078,0.025,False
48,Alberta,2019,336992,"Military Armored Vehicle, Tank & Tank Cmpnnt Mfg",primary,89.598,>=$5M,3,36.3,109.0,3.978,4.186,4.513,False
48,Alberta,2019,336999,All Other Transportation Equipment Manufacturing,primary,,<$5M,<2,,,,,,True
48,Alberta,2019,541330,Engineering Services,secondary,6189.31,>=$5M,1528,17.5,26795.0,1.769,1.469,2.005,False
48,Alberta,2019,541370,Surveying & Mapping (except Geophysical) Services,secondary,573.741,>=$5M,354,11.0,3903.0,1.659,1.402,1.882,False
48,Alberta,2019,541511,Custom Computer Programming Services,secondary,291.87,>=$5M,206,6.8,1410.0,0.524,0.853,0.593,False
48,Alberta,2019,ALL,All,all,9369.683,>=$5M,2189,15.8,34644.0,1.355,1.305,1.651,False
48,Alberta,2019,PRIMARY,Primary,primary,424.369,>=$5M,24,31.0,744.0,0.746,1.02,0.696,False
48,Alberta,2019,SECONDARY,Secondary,secondary,8945.314,>=$5M,2165,15.7,33900.0,1.41,1.309,1.703,False
48,Alberta,2020,325920,Explosives Manufacturing,primary,15.504,>=$5M,5,9.6,48.0,1.585,1.601,1.787,False
48,Alberta,2020,331110,Iron & Steel Mills & Ferroalloy Manufacturing,secondary,1586.627,>=$5M,74,18.8,1393.0,0.815,0.966,0.903,False
48,Alberta,2020,331221,Rolled Steel Shape Manufacturing,secondary,,>=$5M,<2,,,,,,True
48,Alberta,2020,334511,Search Detection & Navigation Instruments,primary,54.908,>=$5M,6,24.7,148.0,0.345,0.574,0.384,False
48,Alberta,2020,336411,Aircraft Manufacturing,primary,13.31,>=$5M,7,3.1,22.0,0.047,0.883,0.053,False
48,Alberta,2020,336611,Ship Building & Repairing,secondary,,<$5M,<2,,,,,,True
48,Alberta,2020,336612,Boat Building,secondary,1.782,<$5M,2,4.5,9.0,0.022,0.078,0.024,False
48,Alberta,2020,336992,"Military Armored Vehicle, Tank & Tank Cmpnnt Mfg",primary,89.598,>=$5M,3,36.3,109.0,4.025,4.163,4.537,False
48,Alberta,2020,336999,All Other Transportation Equipment Manufacturing,primary,,<$5M,<2,,,,,,True
48,Alberta,2020,541330,Engineering Services,secondary,6330.682,>=$5M,1540,17.8,27384.0,1.359,1.473,1.529,False
48,Alberta,2020,541370,Surveying & Mapping (except Geophysical) Services,secondary,574.917,>=$5M,355,11.0,3892.0,1.667,1.382,1.876,False
48,Alberta,2020,541511,Custom Computer Programming Services,secondary,308.844,>=$5M,209,7.1,1487.0,0.56,0.849,0.63,False
