region_uid,region_name,year,NAICS6,NAICS,NAICSD,defence_type,total_sales_M,sales_bucket,n_firms,avg_employees,total_jobs,lq_sales,lq_firms,lq_jobs,suppressed
932,Abbotsford - Mission,2017,ALL,ALL,All,all,126.91,>=$5M,55,8.3,459.0,0.344,0.693,0.344,False
932,Abbotsford - Mission,2017,PRIMARY,PRIMARY,Primary,primary,,<$5M,0,,,,,,True
932,Abbotsford - Mission,2017,SECONDARY,SECONDARY,Secondary,secondary,126.91,>=$5M,55,8.3,459.0,0.346,0.695,0.346,False
932,Abbotsford - Mission,2018,ALL,ALL,All,all,146.728,>=$5M,59,9.2,545.0,0.425,0.723,0.464,False
932,Abbotsford - Mission,2018,PRIMARY,PRIMARY,Primary,primary,,<$5M,0,,,,,,True
932,Abbotsford - Mission,2018,SECONDARY,SECONDARY,Secondary,secondary,146.728,>=$5M,59,9.2,545.0,0.428,0.726,0.468,False
932,Abbotsford - Mission,2019,ALL,ALL,All,all,158.034,>=$5M,70,8.5,595.0,0.466,0.817,0.512,False
932,Abbotsford - Mission,2019,PRIMARY,PRIMARY,Primary,primary,,<$5M,0,,,,,,True
932,Abbotsford - Mission,2019,SECONDARY,SECONDARY,Secondary,secondary,158.034,>=$5M,70,8.5,595.0,0.469,0.82,0.515,False
932,Abbotsford - Mission,2020,ALL,ALL,All,all,159.069,>=$5M,71,8.5,600.0,0.422,0.819,0.445,False
932,Abbotsford - Mission,2020,PRIMARY,PRIMARY,Primary,primary,,<$5M,0,,,,,,True
932,Abbotsford - Mission,2020,SECONDARY,SECONDARY,Secondary,secondary,159.069,>=$5M,71,8.5,600.0,0.425,0.822,0.448,False
932,Abbotsford - Mission,2021,ALL,ALL,All,all,147.225,>=$5M,62,8.9,550.0,0.524,0.782,0.538,False
932,Abbotsford - Mission,2021,PRIMARY,PRIMARY,Primary,primary,,<$5M,0,,,,,,True
932,Abbotsford - Mission,2021,SECONDARY,SECONDARY,Secondary,secondary,147.225,>=$5M,62,8.9,550.0,0.528,0.785,0.542,False
932,Abbotsford - Mission,2022,ALL,ALL,All,all,248.795,>=$5M,86,9.1,781.0,0.729,0.877,0.63,False
932,Abbotsford - Mission,2022,PRIMARY,PRIMARY,Primary,primary,,<$5M,0,,,,,,True
932,Abbotsford - Mission,2022,SECONDARY,SECONDARY,Secondary,secondary,248.795,>=$5M,86,9.1,781.0,0.735,0.88,0.634,False
932,Abbotsford - Mission,2023,ALL,ALL,All,all,234.559,>=$5M,84,9.4,791.0,0.646,0.872,0.612,False
932,Abbotsford - Mission,2023,PRIMARY,PRIMARY,Primary,primary,,<$5M,0,,,,,,True
932,Abbotsford - Mission,2023,SECONDARY,SECONDARY,Secondary,secondary,234.559,>=$5M,84,9.4,791.0,0.65,0.875,0.616,False
932,Abbotsford - Mission,2024,ALL,ALL,All,all,187.645,>=$5M,87,10.6,925.0,0.489,0.788,0.535,False
932,Abbotsford - Mission,2024,PRIMARY,PRIMARY,Primary,primary,,<$5M,0,,,,,,True
932,Abbotsford - Mission,2024,SECONDARY,SECONDARY,Secondary,secondary,187.645,>=$5M,87,10.6,925.0,0.495,0.791,0.541,False
932,Abbotsford - Mission,2025,ALL,ALL,All,all,194.078,>=$5M,92,10.4,960.0,0.523,0.814,0.558,False
932,Abbotsford - Mission,2025,PRIMARY,PRIMARY,Primary,primary,,<$5M,0,,,,,,True
