region_uid,region_name,year,NAICS6,NAICSD,defence_type,total_sales_M,total_sales_M_real,sales_bucket,n_firms,avg_employees,total_jobs,lq_sales,lq_firms,lq_jobs,suppressed
825,Calgary,2017,325920,Explosives Manufacturing,primary,9.69,12.202,>=$5M,2,15.0,30.0,2.067,1.29,2.362,False
930,Chilliwack,2017,325920,Explosives Manufacturing,primary,,,<$5M,<2,,,,,,True
015,Corner Brook,2017,325920,Explosives Manufacturing,primary,,,<$5M,<2,,,,,,True
850,Grande Prairie,2017,325920,Explosives Manufacturing,primary,,,<$5M,<2,,,,,,True
580,Greater Sudbury / Grand Sudbury,2017,325920,Explosives Manufacturing,primary,,,<$5M,<2,,,,,,True
205,Halifax,2017,325920,Explosives Manufacturing,primary,5.814,7.321,>=$5M,2,9.0,18.0,3.984,3.531,3.355,False
925,Kamloops,2017,325920,Explosives Manufacturing,primary,,,<$5M,<2,,,,,,True
938,Nanaimo,2017,325920,Explosives Manufacturing,primary,,,<$5M,<2,,,,,,True
575,North Bay,2017,325920,Explosives Manufacturing,primary,,,>=$5M,<2,,,,,,True
421,Québec,2017,325920,Explosives Manufacturing,primary,6.137,7.728,>=$5M,2,9.5,19.0,2.915,2.475,2.586,False
RURAL_AB,Rural Alberta,2017,325920,Explosives Manufacturing,primary,4.845,6.101,<$5M,3,5.0,15.0,2.02,2.933,2.212,False
RURAL_BC,Rural British Columbia,2017,325920,Explosives Manufacturing,primary,19.057,23.997,>=$5M,2,29.5,59.0,14.141,2.611,12.313,False
RURAL_MB,Rural Manitoba,2017,325920,Explosives Manufacturing,primary,,,<$5M,<2,,,,,,True
RURAL_NB,Rural New Brunswick,2017,325920,Explosives Manufacturing,primary,,,<$5M,<2,,,,,,True
RURAL_NL,Rural Newfoundland and Labrador,2017,325920,Explosives Manufacturing,primary,,,>=$5M,<2,,,,,,True
RURAL_ON,Rural Ontario,2017,325920,Explosives Manufacturing,primary,,,<$5M,<2,,,,,,True
RURAL_QC,Rural Quebec,2017,325920,Explosives Manufacturing,primary,9.69,12.202,>=$5M,5,5.6,28.0,2.212,2.657,1.923,False
RURAL_SK,Rural Saskatchewan,2017,325920,Explosives Manufacturing,primary,7.429,9.355,>=$5M,2,11.5,23.0,6.314,3.708,6.653,False
408,Saguenay,2017,325920,Explosives Manufacturing,primary,0.646,0.813,<$5M,2,1.0,2.0,1.253,10.895,1.275,False
001,St. John's,2017,325920,Explosives Manufacturing,primary,,,<$5M,<2,,,,,,True
965,Terrace,2017,325920,Explosives Manufacturing,primary,1.615,2.034,<$5M,2,2.5,5.0,30.549,66.268,24.243,False
430,Thetford Mines,2017,325920,Explosives Manufacturing,primary,4.845,6.101,<$5M,2,7.5,15.0,43.101,46.365,41.273,False
480,Val-d'Or,2017,325920,Explosives Manufacturing,primary,,,<$5M,<2,,,,,,True
933,Vancouver,2017,325920,Explosives Manufacturing,primary,,,<$5M,<2,,,,,,True
990,Whitehorse,2017,325920,Explosives Manufacturing,primary,,,<$5M,<2,,,,,,True
995,Yellowknife,2017,325920,Explosives Manufacturing,primary,,,<$5M,<2,,,,,,True
825,Calgary,2018,325920,Explosives Manufacturing,primary,25.84,31.806,>=$5M,3,26.7,80.0,2.974,1.284,3.597,False
944,Campbell River,2018,325920,Explosives Manufacturing,primary,,,<$5M,<2,,,,,,True
930,Chilliwack,2018,325920,Explosives Manufacturing,primary,,,<$5M,<2,,,,,,True
015,Corner Brook,2018,325920,Explosives Manufacturing,primary,,,<$5M,<2,,,,,,True
850,Grande Prairie,2018,325920,Explosives Manufacturing,primary,4.522,5.566,<$5M,2,7.0,14.0,8.197,11.662,8.886,False
580,Greater Sudbury / Grand Sudbury,2018,325920,Explosives Manufacturing,primary,6.137,7.554,>=$5M,2,9.5,19.0,7.627,7.262,7.54,False
205,Halifax,2018,325920,Explosives Manufacturing,primary,5.814,7.156,>=$5M,2,9.0,18.0,2.31,2.352,1.906,False
925,Kamloops,2018,325920,Explosives Manufacturing,primary,4.522,5.566,<$5M,2,7.0,14.0,9.339,9.346,7.658,False
598,Kenora,2018,325920,Explosives Manufacturing,primary,,,<$5M,<2,,,,,,True
462,Montréal,2018,325920,Explosives Manufacturing,primary,,,>=$5M,<2,,,,,,True
938,Nanaimo,2018,325920,Explosives Manufacturing,primary,,,<$5M,<2,,,,,,True
575,North Bay,2018,325920,Explosives Manufacturing,primary,,,>=$5M,<2,,,,,,True
421,Québec,2018,325920,Explosives Manufacturing,primary,6.137,7.554,>=$5M,2,9.5,19.0,1.595,1.67,1.491,False
705,Regina,2018,325920,Explosives Manufacturing,primary,,,<$5M,<2,,,,,,True
RURAL_AB,Rural Alberta,2018,325920,Explosives Manufacturing,primary,23.902,29.421,>=$5M,5,14.8,74.0,5.723,3.206,6.202,False
RURAL_BC,Rural British Columbia,2018,325920,Explosives Manufacturing,primary,26.163,32.204,>=$5M,3,27.0,81.0,11.183,2.568,9.612,False
RURAL_MB,Rural Manitoba,2018,325920,Explosives Manufacturing,primary,,,<$5M,<2,,,,,,True
RURAL_NB,Rural New Brunswick,2018,325920,Explosives Manufacturing,primary,,,<$5M,<2,,,,,,True
RURAL_NL,Rural Newfoundland and Labrador,2018,325920,Explosives Manufacturing,primary,,,>=$5M,<2,,,,,,True
RURAL_ON,Rural Ontario,2018,325920,Explosives Manufacturing,primary,10.659,13.12,>=$5M,4,8.2,33.0,1.768,1.593,1.718,False
RURAL_QC,Rural Quebec,2018,325920,Explosives Manufacturing,primary,9.69,11.927,>=$5M,5,6.0,30.0,1.321,1.801,1.208,False
RURAL_SK,Rural Saskatchewan,2018,325920,Explosives Manufacturing,primary,7.752,9.542,>=$5M,3,8.0,24.0,3.866,3.703,3.998,False
408,Saguenay,2018,325920,Explosives Manufacturing,primary,0.646,0.795,<$5M,2,1.0,2.0,0.674,7.323,0.708,False
412,Sept-Îles,2018,325920,Explosives Manufacturing,primary,,,<$5M,<2,,,,,,True
539,St. Catharines - Niagara,2018,325920,Explosives Manufacturing,primary,,,<$5M,<2,,,,,,True
001,St. John's,2018,325920,Explosives Manufacturing,primary,,,<$5M,<2,,,,,,True
965,Terrace,2018,325920,Explosives Manufacturing,primary,1.615,1.988,<$5M,2,2.5,5.0,16.955,44.256,14.264,False
430,Thetford Mines,2018,325920,Explosives Manufacturing,primary,4.845,5.964,<$5M,2,7.5,15.0,25.419,31.003,24.007,False
595,Thunder Bay,2018,325920,Explosives Manufacturing,primary,,,<$5M,<2,,,,,,True
480,Val-d'Or,2018,325920,Explosives Manufacturing,primary,4.199,5.168,<$5M,2,6.5,13.0,23.271,32.344,20.616,False
933,Vancouver,2018,325920,Explosives Manufacturing,primary,,,<$5M,<2,,,,,,True
990,Whitehorse,2018,325920,Explosives Manufacturing,primary,,,<$5M,<2,,,,,,True
995,Yellowknife,2018,325920,Explosives Manufacturing,primary,3.876,4.771,<$5M,2,6.0,12.0,10.45,43.434,23.966,False
825,Calgary,2019,325920,Explosives Manufacturing,primary,26.486,31.978,>=$5M,4,20.5,82.0,2.802,1.686,3.497,False
944,Campbell River,2019,325920,Explosives Manufacturing,primary,,,<$5M,<2,,,,,,True
930,Chilliwack,2019,325920,Explosives Manufacturing,primary,,,<$5M,<2,,,,,,True
015,Corner Brook,2019,325920,Explosives Manufacturing,primary,,,<$5M,<2,,,,,,True
850,Grande Prairie,2019,325920,Explosives Manufacturing,primary,4.522,5.46,<$5M,2,7.0,14.0,8.082,11.855,8.817,False
580,Greater Sudbury / Grand Sudbury,2019,325920,Explosives Manufacturing,primary,6.137,7.41,>=$5M,2,9.5,19.0,7.611,7.072,7.373,False
205,Halifax,2019,325920,Explosives Manufacturing,primary,6.46,7.8,>=$5M,2,10.0,20.0,2.669,2.322,2.205,False
925,Kamloops,2019,325920,Explosives Manufacturing,primary,4.522,5.46,<$5M,2,7.0,14.0,9.687,9.399,7.723,False
598,Kenora,2019,325920,Explosives Manufacturing,primary,,,<$5M,<2,,,,,,True
462,Montréal,2019,325920,Explosives Manufacturing,primary,,,>=$5M,<2,,,,,,True
938,Nanaimo,2019,325920,Explosives Manufacturing,primary,,,<$5M,<2,,,,,,True
575,North Bay,2019,325920,Explosives Manufacturing,primary,,,>=$5M,<2,,,,,,True
421,Québec,2019,325920,Explosives Manufacturing,primary,6.137,7.41,>=$5M,2,9.5,19.0,1.562,1.691,1.478,False
705,Regina,2019,325920,Explosives Manufacturing,primary,,,<$5M,<2,,,,,,True
RURAL_AB,Rural Alberta,2019,325920,Explosives Manufacturing,primary,23.902,28.858,>=$5M,5,14.8,74.0,5.224,3.324,6.145,False
RURAL_BC,Rural British Columbia,2019,325920,Explosives Manufacturing,primary,26.163,31.588,>=$5M,3,27.0,81.0,11.776,2.775,10.366,False
RURAL_MB,Rural Manitoba,2019,325920,Explosives Manufacturing,primary,,,<$5M,<2,,,,,,True
RURAL_NB,Rural New Brunswick,2019,325920,Explosives Manufacturing,primary,,,<$5M,<2,,,,,,True
RURAL_NL,Rural Newfoundland and Labrador,2019,325920,Explosives Manufacturing,primary,,,>=$5M,<2,,,,,,True
RURAL_ON,Rural Ontario,2019,325920,Explosives Manufacturing,primary,13.889,16.769,>=$5M,5,8.6,43.0,2.273,1.954,2.221,False
RURAL_QC,Rural Quebec,2019,325920,Explosives Manufacturing,primary,9.69,11.699,>=$5M,5,6.0,30.0,1.331,1.765,1.215,False
RURAL_SK,Rural Saskatchewan,2019,325920,Explosives Manufacturing,primary,5.814,7.02,>=$5M,3,6.0,18.0,2.841,3.797,3.049,False
408,Saguenay,2019,325920,Explosives Manufacturing,primary,0.646,0.78,<$5M,2,1.0,2.0,0.678,7.493,0.725,False
412,Sept-Îles,2019,325920,Explosives Manufacturing,primary,,,<$5M,<2,,,,,,True
539,St. Catharines - Niagara,2019,325920,Explosives Manufacturing,primary,,,<$5M,<2,,,,,,True
001,St. John's,2019,325920,Explosives Manufacturing,primary,,,<$5M,<2,,,,,,True
965,Terrace,2019,325920,Explosives Manufacturing,primary,1.615,1.95,<$5M,2,2.5,5.0,16.724,46.239,14.145,False
430,Thetford Mines,2019,325920,Explosives Manufacturing,primary,4.845,5.85,<$5M,2,7.5,15.0,25.91,31.231,24.411,False
595,Thunder Bay,2019,325920,Explosives Manufacturing,primary,,,<$5M,<2,,,,,,True
480,Val-d'Or,2019,325920,Explosives Manufacturing,primary,,,<$5M,<2,,,,,,True
933,Vancouver,2019,325920,Explosives Manufacturing,primary,,,<$5M,<2,,,,,,True
990,Whitehorse,2019,325920,Explosives Manufacturing,primary,,,<$5M,<2,,,,,,True
995,Yellowknife,2019,325920,Explosives Manufacturing,primary,3.876,4.68,<$5M,2,6.0,12.0,11.529,43.736,23.903,False
