region_uid,region_name,year,tier,object_sector,total_value,total_value_real,n_contracts,n_vendors
001,St. John's,2016,ALL,ALL,648452.84,829251.9963239875,18,9
001,St. John's,2017,ALL,ALL,8915842.5,11226850.755368099,134,30
001,St. John's,2018,ALL,ALL,10380581.43,12777297.382353822,87,39
001,St. John's,2019,ALL,ALL,11654186.2,14070715.985588234,75,42
001,St. John's,2020,ALL,ALL,18260033.99,21885383.80407299,74,37
001,St. John's,2021,ALL,ALL,15614018.86,18106086.841892656,95,34
001,St. John's,2022,ALL,ALL,59169354.1,64256666.29113757,105,38
001,St. John's,2023,ALL,ALL,51282785.8,53600467.39885423,108,32
001,St. John's,2024,ALL,ALL,89152953.42,90981447.80338097,98,33
001,St. John's,2025,ALL,ALL,36794930.92,36794930.92,445,110
001,St. John's,2026,ALL,ALL,14266135.84,13960068.563337306,241,85
010,Grand Falls-Windsor,2017,ALL,ALL,23920,30120.122699386502,1,1
010,Grand Falls-Windsor,2018,ALL,ALL,38584.340000000004,47492.86827586207,2,1
010,Grand Falls-Windsor,2020,ALL,ALL,36445.25,43681.09525547445,2,1
010,Grand Falls-Windsor,2021,ALL,ALL,40740,47242.28813559322,2,1
010,Grand Falls-Windsor,2022,ALL,ALL,72833.35,79095.47665343915,2,2
010,Grand Falls-Windsor,2023,ALL,ALL,98900,103369.70082749841,2,2
010,Grand Falls-Windsor,2025,ALL,ALL,16988.19,16988.19,1,1
011,Gander,2017,ALL,ALL,171943.73,216511.96676380368,10,5
011,Gander,2018,ALL,ALL,733273.47,902574.9908095952,15,11
011,Gander,2019,ALL,ALL,56386.6,68078.52735294116,2,2
011,Gander,2020,ALL,ALL,558862.82,669819.5258686132,6,6
011,Gander,2021,ALL,ALL,574895.62,666651.5593502824,15,8
011,Gander,2022,ALL,ALL,898443.99,975691.158452381,21,16
011,Gander,2023,ALL,ALL,5863640.77,6128642.994487588,19,12
011,Gander,2024,ALL,ALL,862441.83,880130.1956867619,31,10
011,Gander,2025,ALL,ALL,1466754.47,1466754.47,21,11
011,Gander,2026,ALL,ALL,101284.92,99111.94197854587,6,3
015,Corner Brook,2016,ALL,ALL,47955.74,61326.577165109025,4,2
015,Corner Brook,2017,ALL,ALL,286818.23,361162.2190644172,7,5
015,Corner Brook,2018,ALL,ALL,286220.54000000004,352304.4427886057,6,5
015,Corner Brook,2019,ALL,ALL,124475.72,150286.12664705882,5,5
015,Corner Brook,2020,ALL,ALL,97741.55,117147.17160583941,4,4
015,Corner Brook,2021,ALL,ALL,187591.8,217532.29915254237,7,4
015,Corner Brook,2022,ALL,ALL,986436.49,1071249.1511772487,8,6
015,Corner Brook,2023,ALL,ALL,164730.21,172175.0508084023,7,5
015,Corner Brook,2024,ALL,ALL,2249593.45,2295731.7867619637,4,4
015,Corner Brook,2025,ALL,ALL,720459.55,720459.55,7,5
015,Corner Brook,2026,ALL,ALL,169498.78,165862.33418355184,10,5
105,Charlottetown,2016,ALL,ALL,35719.3,45678.41947040498,1,1
105,Charlottetown,2017,ALL,ALL,60819.91,76584.57992331288,2,2
105,Charlottetown,2018,ALL,ALL,1338637.6199999999,1647708.3748425785,8,8
105,Charlottetown,2019,ALL,ALL,739465.67,892796.0515735294,12,11
105,Charlottetown,2020,ALL,ALL,9947739.01,11922764.565270074,11,8
105,Charlottetown,2021,ALL,ALL,1990755.85,2308489.481426554,28,12
105,Charlottetown,2022,ALL,ALL,1125868.64,1222669.5151322752,18,8
105,Charlottetown,2023,ALL,ALL,1542350.98,1612056.212068746,26,16
105,Charlottetown,2024,ALL,ALL,548870.28,560127.4081789932,17,8
105,Charlottetown,2025,ALL,ALL,900138.12,900138.12,25,16
105,Charlottetown,2026,ALL,ALL,345119.12,337714.89573301544,7,3
110,Summerside,2017,ALL,ALL,11247,14162.25,1,1
110,Summerside,2018,ALL,ALL,402643.44,495607.5925637181,2,2
110,Summerside,2022,ALL,ALL,26153.6,28402.256084656085,1,1
110,Summerside,2024,ALL,ALL,33062.5,33740.59975139838,1,1
110,Summerside,2025,ALL,ALL,81764.87,81764.87,2,2
205,Halifax,2016,ALL,ALL,20850420.43,26663855.40970405,94,44
205,Halifax,2017,ALL,ALL,249225592.56,313825477.74809813,679,183
205,Halifax,2018,ALL,ALL,140039230.4,172372126.17451274,872,211
205,Halifax,2019,ALL,ALL,1479567669.33,1786360377.235191,785,210
205,Halifax,2020,ALL,ALL,684941811.07,820930258.231343,814,190
205,Halifax,2021,ALL,ALL,914101218.08,1059995904.0164971,994,229
205,Halifax,2022,ALL,ALL,179905509.09,195373575.34773812,1173,276
205,Halifax,2023,ALL,ALL,417335840.61,436196976.6273838,1296,350
205,Halifax,2024,ALL,ALL,3833116817.34,3911732637.708067,1161,340
205,Halifax,2025,ALL,ALL,11043470135.73,11043470135.73,1702,435
205,Halifax,2026,ALL,ALL,44302305.82,43351839.18738975,528,196
210,Kentville,2016,ALL,ALL,28337.89,36238.95278816199,2,1
210,Kentville,2017,ALL,ALL,187161.45,235674.15713190183,10,6
210,Kentville,2018,ALL,ALL,194613.27,239546.46877061468,11,6
210,Kentville,2019,ALL,ALL,2095856.9000000001,2530438.9925,19,8
210,Kentville,2020,ALL,ALL,1855420.31,2223795.7292116787,15,6
210,Kentville,2021,ALL,ALL,1093240.69,1267726.8453248588,12,7
