region_uid,region_name,year,tier,object_cluster,total_value,n_contracts,n_vendors
10,Newfoundland and Labrador,2016,ALL,ALL,843738.7000000001,26,13
10,Newfoundland and Labrador,2017,ALL,ALL,12415783.92,198,60
10,Newfoundland and Labrador,2018,ALL,ALL,13736873.41,171,69
10,Newfoundland and Labrador,2019,ALL,ALL,14453875.23,167,64
10,Newfoundland and Labrador,2020,ALL,ALL,35630461.81,126,69
10,Newfoundland and Labrador,2021,ALL,ALL,18899126.86,177,64
10,Newfoundland and Labrador,2022,ALL,ALL,67575003.16,218,81
10,Newfoundland and Labrador,2023,ALL,ALL,65498072.23,202,63
10,Newfoundland and Labrador,2024,ALL,ALL,96257772.16,198,57
10,Newfoundland and Labrador,2025,ALL,ALL,44775455.19,591,161
10,Newfoundland and Labrador,2026,ALL,ALL,15338846.88,300,105
11,Prince Edward Island,2016,ALL,ALL,51189.3,2,2
11,Prince Edward Island,2017,ALL,ALL,72066.91,3,3
11,Prince Edward Island,2018,ALL,ALL,1867118.91,11,11
11,Prince Edward Island,2019,ALL,ALL,781527.78,13,12
11,Prince Edward Island,2020,ALL,ALL,10119609.93,15,12
11,Prince Edward Island,2021,ALL,ALL,1990755.85,28,12
11,Prince Edward Island,2022,ALL,ALL,1255694.67,22,11
11,Prince Edward Island,2023,ALL,ALL,1810702.01,32,19
11,Prince Edward Island,2024,ALL,ALL,610314.75,19,10
11,Prince Edward Island,2025,ALL,ALL,2141187.99,28,19
11,Prince Edward Island,2026,ALL,ALL,345119.12,7,3
12,Nova Scotia,2016,ALL,ALL,21253086.04,111,54
12,Nova Scotia,2017,ALL,ALL,258763514.35,818,244
12,Nova Scotia,2018,ALL,ALL,165597350.8,1068,270
12,Nova Scotia,2019,ALL,ALL,1494586910.23,968,267
12,Nova Scotia,2020,ALL,ALL,703618478.17,1031,251
12,Nova Scotia,2021,ALL,ALL,934506717.03,1229,297
12,Nova Scotia,2022,ALL,ALL,221574113.69,1393,352
12,Nova Scotia,2023,ALL,ALL,451487763.04,1638,440
12,Nova Scotia,2024,ALL,ALL,3897231466.74,1548,415
12,Nova Scotia,2025,ALL,ALL,11071250646.93,2072,520
12,Nova Scotia,2026,ALL,ALL,46947018.9,586,237
13,New Brunswick,2016,ALL,ALL,6278317.45,171,34
13,New Brunswick,2017,ALL,ALL,41524536.73,594,116
13,New Brunswick,2018,ALL,ALL,49804358.96,660,127
13,New Brunswick,2019,ALL,ALL,88146814.54,614,127
13,New Brunswick,2020,ALL,ALL,57263510.44,542,123
13,New Brunswick,2021,ALL,ALL,175814671.66,620,153
13,New Brunswick,2022,ALL,ALL,89811335.63,654,181
13,New Brunswick,2023,ALL,ALL,253974460.7,813,212
13,New Brunswick,2024,ALL,ALL,97344546.23,841,203
13,New Brunswick,2025,ALL,ALL,211446420,1032,270
13,New Brunswick,2026,ALL,ALL,23719031.69,248,90
24,Quebec,2016,ALL,ALL,225016652.66,189,102
24,Quebec,2017,ALL,ALL,2409587161.23,1706,589
24,Quebec,2018,ALL,ALL,582573251.78,2536,770
24,Quebec,2019,ALL,ALL,4759638737.93,2258,675
24,Quebec,2020,ALL,ALL,1085369382.91,1711,617
24,Quebec,2021,ALL,ALL,619048572.75,2140,636
24,Quebec,2022,ALL,ALL,2350776499.55,2435,790
24,Quebec,2023,ALL,ALL,3850630255.15,2492,944
24,Quebec,2024,ALL,ALL,909774946.18,2706,933
24,Quebec,2025,ALL,ALL,2014126356.37,3841,1167
24,Quebec,2026,ALL,ALL,1911246349.73,1116,496
35,Ontario,2016,ALL,ALL,339051850.77,521,270
35,Ontario,2017,ALL,ALL,2680250565.82,4587,1312
35,Ontario,2018,ALL,ALL,2167543293.23,5608,1583
35,Ontario,2019,ALL,ALL,1116819684.5,4959,1483
35,Ontario,2020,ALL,ALL,1244645178.81,4491,1381
35,Ontario,2021,ALL,ALL,1298294220.64,5032,1438
35,Ontario,2022,ALL,ALL,2705375487.28,5530,1733
35,Ontario,2023,ALL,ALL,3774867295.77,6228,2055
35,Ontario,2024,ALL,ALL,14073979315.82,5618,1891
35,Ontario,2025,ALL,ALL,2445390643.28,7629,2330
35,Ontario,2026,ALL,ALL,942913954.12,2036,928
46,Manitoba,2016,ALL,ALL,9039736.65,35,15
46,Manitoba,2017,ALL,ALL,67060585.15,405,105
46,Manitoba,2018,ALL,ALL,97726677.51,578,137
46,Manitoba,2019,ALL,ALL,32827621.96,357,114
46,Manitoba,2020,ALL,ALL,49413647.9,374,108
46,Manitoba,2021,ALL,ALL,37490189.85,413,120
46,Manitoba,2022,ALL,ALL,90256607.03,454,130
46,Manitoba,2023,ALL,ALL,95027899.31,587,223
46,Manitoba,2024,ALL,ALL,26871083.13,416,176
46,Manitoba,2025,ALL,ALL,47376071.76,609,211
46,Manitoba,2026,ALL,ALL,64051118.96,193,89
47,Saskatchewan,2016,ALL,ALL,510440.89,9,7
47,Saskatchewan,2017,ALL,ALL,15104044.209999999,94,57
47,Saskatchewan,2018,ALL,ALL,5875682.61,168,65
47,Saskatchewan,2019,ALL,ALL,7131019.9,141,48
47,Saskatchewan,2020,ALL,ALL,17655595.22,168,63
47,Saskatchewan,2021,ALL,ALL,10458812.2,174,67
47,Saskatchewan,2022,ALL,ALL,4505673084.53,262,91
47,Saskatchewan,2023,ALL,ALL,70183001.98,223,90
47,Saskatchewan,2024,ALL,ALL,17732488.89,135,67
47,Saskatchewan,2025,ALL,ALL,26189727.72,212,75
47,Saskatchewan,2026,ALL,ALL,4056896.93,43,36
48,Alberta,2016,ALL,ALL,7196766.7,167,68
48,Alberta,2017,ALL,ALL,761739941.49,1627,419
48,Alberta,2018,ALL,ALL,276313224.01,2097,496
48,Alberta,2019,ALL,ALL,210058358.48,2049,450
48,Alberta,2020,ALL,ALL,319502118.32,1567,421
48,Alberta,2021,ALL,ALL,299067724.53,2030,442
48,Alberta,2022,ALL,ALL,307856904.57,2032,497
48,Alberta,2023,ALL,ALL,322105738.7,2115,581
48,Alberta,2024,ALL,ALL,333557757.1,1718,509
48,Alberta,2025,ALL,ALL,229562188.95,2070,598
48,Alberta,2026,ALL,ALL,39124332.89,434,209
59,British Columbia,2016,ALL,ALL,11406101.29,101,64
59,British Columbia,2017,ALL,ALL,493421028.74,1069,326
59,British Columbia,2018,ALL,ALL,378415218.97,1520,396
59,British Columbia,2019,ALL,ALL,1412419623.6,1364,347
59,British Columbia,2020,ALL,ALL,140431573.98,1182,341
59,British Columbia,2021,ALL,ALL,382306885.17,1528,406
59,British Columbia,2022,ALL,ALL,1457461918.88,1248,423
59,British Columbia,2023,ALL,ALL,205043279.17,1712,569
59,British Columbia,2024,ALL,ALL,4410637534.65,1538,500
59,British Columbia,2025,ALL,ALL,281825343.75,2185,699
59,British Columbia,2026,ALL,ALL,104922945.11,546,288
60,Yukon,2016,ALL,ALL,112208.64,7,1
60,Yukon,2017,ALL,ALL,402842.46,9,8
60,Yukon,2018,ALL,ALL,3478966.89,10,5
60,Yukon,2019,ALL,ALL,374252.92,20,3
60,Yukon,2020,ALL,ALL,158957.35,4,2
60,Yukon,2021,ALL,ALL,666053.6,15,3
60,Yukon,2022,ALL,ALL,876735,22,6
60,Yukon,2023,ALL,ALL,795996.05,23,7
60,Yukon,2024,ALL,ALL,983177.71,17,9
60,Yukon,2025,ALL,ALL,4241962.53,27,20
60,Yukon,2026,ALL,ALL,324316.47000000003,9,9
61,Northwest Territories,2017,ALL,ALL,898799.59,22,19
61,Northwest Territories,2018,ALL,ALL,631104.28,18,14
61,Northwest Territories,2019,ALL,ALL,1971979.07,33,19
61,Northwest Territories,2020,ALL,ALL,1910731.19,37,9
61,Northwest Territories,2021,ALL,ALL,11114690.17,53,12
61,Northwest Territories,2022,ALL,ALL,5258534.18,58,20
61,Northwest Territories,2023,ALL,ALL,4072688.68,26,10
61,Northwest Territories,2024,ALL,ALL,22830018.31,27,19
61,Northwest Territories,2025,ALL,ALL,5759084.69,66,44
61,Northwest Territories,2026,ALL,ALL,1074804.28,23,18
62,Nunavut,2016,ALL,ALL,665525.82,37,3
62,Nunavut,2017,ALL,ALL,1596230.47,44,8
62,Nunavut,2018,ALL,ALL,1913594.51,73,11
62,Nunavut,2019,ALL,ALL,1105829.55,57,6
62,Nunavut,2020,ALL,ALL,2053846.25,88,8
62,Nunavut,2021,ALL,ALL,1523560.85,72,10
62,Nunavut,2022,ALL,ALL,592553286.89,14,9
62,Nunavut,2023,ALL,ALL,573844.02,29,10
62,Nunavut,2024,ALL,ALL,5300199.3,20,11
62,Nunavut,2025,ALL,ALL,25236666.93,40,16
62,Nunavut,2026,ALL,ALL,1295103.55,14,13
10,Newfoundland and Labrador,2016,General Government Support,ALL,492096.23000000004,16,8
10,Newfoundland and Labrador,2016,Industrial and Technical Support,ALL,351642.47000000003,10,6
10,Newfoundland and Labrador,2017,Core Defence Industrial Complex,ALL,1242279.77,9,6
10,Newfoundland and Labrador,2017,General Government Support,ALL,6010483.84,134,37
10,Newfoundland and Labrador,2017,Industrial and Technical Support,ALL,5163020.31,55,22
10,Newfoundland and Labrador,2018,Core Defence Industrial Complex,ALL,980118.5599999999,6,2
10,Newfoundland and Labrador,2018,General Government Support,ALL,6167945.77,60,44
10,Newfoundland and Labrador,2018,Industrial and Technical Support,ALL,6588809.08,105,39
10,Newfoundland and Labrador,2019,Core Defence Industrial Complex,ALL,16407.05,1,1
10,Newfoundland and Labrador,2019,General Government Support,ALL,9409439.22,64,39
10,Newfoundland and Labrador,2019,Industrial and Technical Support,ALL,5028028.96,102,28
10,Newfoundland and Labrador,2020,Core Defence Industrial Complex,ALL,4930303.73,5,5
10,Newfoundland and Labrador,2020,General Government Support,ALL,14395707.87,64,42
10,Newfoundland and Labrador,2020,Industrial and Technical Support,ALL,16304450.209999999,57,26
10,Newfoundland and Labrador,2021,General Government Support,ALL,13591358.13,90,41
10,Newfoundland and Labrador,2021,Industrial and Technical Support,ALL,5307768.73,87,30
10,Newfoundland and Labrador,2022,Core Defence Industrial Complex,ALL,50079911.72,4,3
10,Newfoundland and Labrador,2022,General Government Support,ALL,10532811.36,81,54
10,Newfoundland and Labrador,2022,Industrial and Technical Support,ALL,6962280.08,133,29
10,Newfoundland and Labrador,2023,Core Defence Industrial Complex,ALL,41157110,3,2
10,Newfoundland and Labrador,2023,General Government Support,ALL,17262385.35,74,46
10,Newfoundland and Labrador,2023,Industrial and Technical Support,ALL,7078576.88,125,22
10,Newfoundland and Labrador,2024,Core Defence Industrial Complex,ALL,57677243.2,3,2
10,Newfoundland and Labrador,2024,General Government Support,ALL,8077583.3,68,44
10,Newfoundland and Labrador,2024,Industrial and Technical Support,ALL,30502945.66,127,12
10,Newfoundland and Labrador,2025,Core Defence Industrial Complex,ALL,25715122.25,309,83
10,Newfoundland and Labrador,2025,General Government Support,ALL,10610070.26,132,66
10,Newfoundland and Labrador,2025,Industrial and Technical Support,ALL,8450262.68,150,29
10,Newfoundland and Labrador,2026,Core Defence Industrial Complex,ALL,5375203.75,159,65
10,Newfoundland and Labrador,2026,General Government Support,ALL,3731971.59,88,39
10,Newfoundland and Labrador,2026,Industrial and Technical Support,ALL,6231671.54,53,19
11,Prince Edward Island,2016,General Government Support,ALL,15470,1,1
11,Prince Edward Island,2016,Industrial and Technical Support,ALL,35719.3,1,1
11,Prince Edward Island,2017,General Government Support,ALL,72066.91,3,3
11,Prince Edward Island,2018,General Government Support,ALL,596665.61,7,7
11,Prince Edward Island,2018,Industrial and Technical Support,ALL,1270453.3,4,4
11,Prince Edward Island,2019,General Government Support,ALL,533498.17,8,8
11,Prince Edward Island,2019,Industrial and Technical Support,ALL,248029.61,5,5
11,Prince Edward Island,2020,Core Defence Industrial Complex,ALL,19005.38,1,1
11,Prince Edward Island,2020,General Government Support,ALL,10063856.3,12,10
11,Prince Edward Island,2020,Industrial and Technical Support,ALL,36748.25,2,2
11,Prince Edward Island,2021,General Government Support,ALL,533768.43,20,8
11,Prince Edward Island,2021,Industrial and Technical Support,ALL,1456987.42,8,6
11,Prince Edward Island,2022,Core Defence Industrial Complex,ALL,42381.14,1,1
11,Prince Edward Island,2022,General Government Support,ALL,1147226.74,18,8
11,Prince Edward Island,2022,Industrial and Technical Support,ALL,66086.79000000001,3,3
11,Prince Edward Island,2023,General Government Support,ALL,763788.06,23,11
11,Prince Edward Island,2023,Industrial and Technical Support,ALL,1046913.95,9,9
11,Prince Edward Island,2024,General Government Support,ALL,594212.25,18,9
11,Prince Edward Island,2024,Industrial and Technical Support,ALL,16102.5,1,1
11,Prince Edward Island,2025,Core Defence Industrial Complex,ALL,1458497.94,4,2
11,Prince Edward Island,2025,General Government Support,ALL,598915.67,19,12
11,Prince Edward Island,2025,Industrial and Technical Support,ALL,83774.38,5,5
11,Prince Edward Island,2026,Core Defence Industrial Complex,ALL,226508.02,2,1
11,Prince Edward Island,2026,General Government Support,ALL,103661.1,4,2
11,Prince Edward Island,2026,Industrial and Technical Support,ALL,14950,1,1
12,Nova Scotia,2016,Core Defence Industrial Complex,ALL,1803515.98,8,3
12,Nova Scotia,2016,General Government Support,ALL,16635653.25,81,39
12,Nova Scotia,2016,Industrial and Technical Support,ALL,2813916.81,22,14
12,Nova Scotia,2017,Core Defence Industrial Complex,ALL,6367408.6,55,18
12,Nova Scotia,2017,General Government Support,ALL,52239881.43,547,191
12,Nova Scotia,2017,Industrial and Technical Support,ALL,200156224.32,216,81
12,Nova Scotia,2018,Core Defence Industrial Complex,ALL,32467265.78,68,24
12,Nova Scotia,2018,General Government Support,ALL,79543993.98,700,198
12,Nova Scotia,2018,Industrial and Technical Support,ALL,53586091.04,300,97
12,Nova Scotia,2019,Core Defence Industrial Complex,ALL,1336409426.7,80,22
12,Nova Scotia,2019,General Government Support,ALL,51598921.83,603,191
12,Nova Scotia,2019,Industrial and Technical Support,ALL,106578561.7,285,99
12,Nova Scotia,2020,Core Defence Industrial Complex,ALL,19342787.36,62,11
12,Nova Scotia,2020,General Government Support,ALL,68303772.73,691,196
12,Nova Scotia,2020,Industrial and Technical Support,ALL,615971918.08,278,81
12,Nova Scotia,2021,Core Defence Industrial Complex,ALL,16166429.11,61,26
12,Nova Scotia,2021,General Government Support,ALL,76297264.93,779,221
12,Nova Scotia,2021,Industrial and Technical Support,ALL,842043022.99,389,104
12,Nova Scotia,2022,Core Defence Industrial Complex,ALL,67472295.75,85,28
12,Nova Scotia,2022,General Government Support,ALL,73671476.47,885,267
12,Nova Scotia,2022,Industrial and Technical Support,ALL,80430341.47,423,114
12,Nova Scotia,2023,Core Defence Industrial Complex,ALL,19750873.85,91,38
12,Nova Scotia,2023,General Government Support,ALL,148038087.83,1093,334
12,Nova Scotia,2023,Industrial and Technical Support,ALL,283698801.36,454,141
12,Nova Scotia,2024,Core Defence Industrial Complex,ALL,3603363109.31,70,31
12,Nova Scotia,2024,General Government Support,ALL,130894143.56,1132,298
12,Nova Scotia,2024,Industrial and Technical Support,ALL,162974213.87,346,136
12,Nova Scotia,2025,Core Defence Industrial Complex,ALL,10853991994.08,321,108
12,Nova Scotia,2025,General Government Support,ALL,122137912.72,1400,351
12,Nova Scotia,2025,Industrial and Technical Support,ALL,95120740.13,351,152
12,Nova Scotia,2026,Core Defence Industrial Complex,ALL,7921332.36,134,52
12,Nova Scotia,2026,General Government Support,ALL,28520830.43,350,156
12,Nova Scotia,2026,Industrial and Technical Support,ALL,10504856.11,102,62
13,New Brunswick,2016,General Government Support,ALL,5315930.09,123,29
13,New Brunswick,2016,Industrial and Technical Support,ALL,962387.36,48,12
13,New Brunswick,2017,Core Defence Industrial Complex,ALL,1257776.25,3,3
13,New Brunswick,2017,General Government Support,ALL,24627457.46,387,88
13,New Brunswick,2017,Industrial and Technical Support,ALL,15639303.02,204,53
13,New Brunswick,2018,Core Defence Industrial Complex,ALL,323141.17,7,4
13,New Brunswick,2018,General Government Support,ALL,27672166.16,379,93
13,New Brunswick,2018,Industrial and Technical Support,ALL,21809051.63,274,57
13,New Brunswick,2019,Core Defence Industrial Complex,ALL,120066.8,5,5
13,New Brunswick,2019,General Government Support,ALL,23726146.17,403,90
