region_uid,region_name,year,NAICS6,NAICS,NAICSD,defence_type,total_sales_M,sales_bucket,n_firms,avg_employees,total_jobs,lq_sales,lq_firms,lq_jobs,suppressed
5909052,Abbotsford,2017,ALL,ALL,All,all,118.963,>=$5M,46,9.0,414.0,0.418,0.811,0.427,False
5909052,Abbotsford,2017,PRIMARY,PRIMARY,Primary,primary,,<$5M,0,,,,,,True
5909052,Abbotsford,2017,SECONDARY,SECONDARY,Secondary,secondary,118.963,>=$5M,46,9.0,414.0,0.421,0.814,0.429,False
5909052,Abbotsford,2018,ALL,ALL,All,all,138.319,>=$5M,49,10.2,498.0,0.517,0.839,0.579,False
5909052,Abbotsford,2018,PRIMARY,PRIMARY,Primary,primary,,<$5M,0,,,,,,True
5909052,Abbotsford,2018,SECONDARY,SECONDARY,Secondary,secondary,138.319,>=$5M,49,10.2,498.0,0.522,0.843,0.583,False
5909052,Abbotsford,2019,ALL,ALL,All,all,148.486,>=$5M,59,9.3,547.0,0.566,0.959,0.645,False
5909052,Abbotsford,2019,PRIMARY,PRIMARY,Primary,primary,,<$5M,0,,,,,,True
5909052,Abbotsford,2019,SECONDARY,SECONDARY,Secondary,secondary,148.486,>=$5M,59,9.3,547.0,0.572,0.964,0.65,False
5909052,Abbotsford,2020,ALL,ALL,All,all,149.521,>=$5M,60,9.2,552.0,0.515,0.962,0.561,False
5909052,Abbotsford,2020,PRIMARY,PRIMARY,Primary,primary,,<$5M,0,,,,,,True
5909052,Abbotsford,2020,SECONDARY,SECONDARY,Secondary,secondary,149.521,>=$5M,60,9.2,552.0,0.519,0.967,0.565,False
5909052,Abbotsford,2021,ALL,ALL,All,all,137.677,>=$5M,51,9.8,502.0,0.65,0.908,0.675,False
5909052,Abbotsford,2021,PRIMARY,PRIMARY,Primary,primary,,<$5M,0,,,,,,True
5909052,Abbotsford,2021,SECONDARY,SECONDARY,Secondary,secondary,137.677,>=$5M,51,9.8,502.0,0.657,0.913,0.681,False
5909052,Abbotsford,2022,ALL,ALL,All,all,238.212,>=$5M,74,9.8,725.0,0.909,1.037,0.797,False
5909052,Abbotsford,2022,PRIMARY,PRIMARY,Primary,primary,,<$5M,0,,,,,,True
5909052,Abbotsford,2022,SECONDARY,SECONDARY,Secondary,secondary,238.212,>=$5M,74,9.8,725.0,0.918,1.041,0.803,False
5909052,Abbotsford,2023,ALL,ALL,All,all,224.157,>=$5M,72,10.2,735.0,0.807,1.017,0.768,False
5909052,Abbotsford,2023,PRIMARY,PRIMARY,Primary,primary,,<$5M,0,,,,,,True
5909052,Abbotsford,2023,SECONDARY,SECONDARY,Secondary,secondary,224.157,>=$5M,72,10.2,735.0,0.814,1.022,0.776,False
5909052,Abbotsford,2024,ALL,ALL,All,all,176.33,>=$5M,74,11.5,849.0,0.589,0.912,0.674,False
5909052,Abbotsford,2024,PRIMARY,PRIMARY,Primary,primary,,<$5M,0,,,,,,True
5909052,Abbotsford,2024,SECONDARY,SECONDARY,Secondary,secondary,176.33,>=$5M,74,11.5,849.0,0.596,0.917,0.683,False
5909052,Abbotsford,2025,ALL,ALL,All,all,182.274,>=$5M,79,11.2,881.0,0.633,0.951,0.705,False
5909052,Abbotsford,2025,PRIMARY,PRIMARY,Primary,primary,,<$5M,0,,,,,,True
5909052,Abbotsford,2025,SECONDARY,SECONDARY,Secondary,secondary,182.274,>=$5M,79,11.2,881.0,0.64,0.956,0.711,False
2446005,Abercorn,2017,ALL,ALL,All,all,,<$5M,0,,,,,,True
2446005,Abercorn,2017,PRIMARY,PRIMARY,Primary,primary,,<$5M,0,,,,,,True
2446005,Abercorn,2017,SECONDARY,SECONDARY,Secondary,secondary,,<$5M,0,,,,,,True
2446005,Abercorn,2018,ALL,ALL,All,all,,<$5M,0,,,,,,True
2446005,Abercorn,2018,PRIMARY,PRIMARY,Primary,primary,,<$5M,0,,,,,,True
2446005,Abercorn,2018,SECONDARY,SECONDARY,Secondary,secondary,,<$5M,0,,,,,,True
2446005,Abercorn,2019,ALL,ALL,All,all,,<$5M,0,,,,,,True
2446005,Abercorn,2019,PRIMARY,PRIMARY,Primary,primary,,<$5M,0,,,,,,True
2446005,Abercorn,2019,SECONDARY,SECONDARY,Secondary,secondary,,<$5M,0,,,,,,True
2446005,Abercorn,2020,ALL,ALL,All,all,,<$5M,0,,,,,,True
2446005,Abercorn,2020,PRIMARY,PRIMARY,Primary,primary,,<$5M,0,,,,,,True
2446005,Abercorn,2020,SECONDARY,SECONDARY,Secondary,secondary,,<$5M,0,,,,,,True
2446005,Abercorn,2021,ALL,ALL,All,all,,<$5M,0,,,,,,True
2446005,Abercorn,2021,PRIMARY,PRIMARY,Primary,primary,,<$5M,0,,,,,,True
2446005,Abercorn,2021,SECONDARY,SECONDARY,Secondary,secondary,,<$5M,0,,,,,,True
2446005,Abercorn,2022,ALL,ALL,All,all,,<$5M,0,,,,,,True
2446005,Abercorn,2022,PRIMARY,PRIMARY,Primary,primary,,<$5M,0,,,,,,True
2446005,Abercorn,2022,SECONDARY,SECONDARY,Secondary,secondary,,<$5M,0,,,,,,True
2446005,Abercorn,2023,ALL,ALL,All,all,,<$5M,0,,,,,,True
2446005,Abercorn,2023,PRIMARY,PRIMARY,Primary,primary,,<$5M,0,,,,,,True
2446005,Abercorn,2023,SECONDARY,SECONDARY,Secondary,secondary,,<$5M,0,,,,,,True
2446005,Abercorn,2024,ALL,ALL,All,all,,<$5M,0,,,,,,True
2446005,Abercorn,2024,PRIMARY,PRIMARY,Primary,primary,,<$5M,0,,,,,,True
2446005,Abercorn,2024,SECONDARY,SECONDARY,Secondary,secondary,,<$5M,0,,,,,,True
2446005,Abercorn,2025,ALL,ALL,All,all,,<$5M,0,,,,,,True
2446005,Abercorn,2025,PRIMARY,PRIMARY,Primary,primary,,<$5M,0,,,,,,True
2446005,Abercorn,2025,SECONDARY,SECONDARY,Secondary,secondary,,<$5M,0,,,,,,True
1311026,Aberdeen,2017,ALL,ALL,All,all,1.386,<$5M,2,3.0,6.0,0.415,9.483,3.062,False
1311026,Aberdeen,2017,PRIMARY,PRIMARY,Primary,primary,,<$5M,0,,,,,,True
1311026,Aberdeen,2017,SECONDARY,SECONDARY,Secondary,secondary,1.386,<$5M,2,3.0,6.0,0.418,9.518,3.081,False
1311026,Aberdeen,2018,ALL,ALL,All,all,1.386,<$5M,2,3.0,6.0,0.46,9.51,3.645,False
1311026,Aberdeen,2018,PRIMARY,PRIMARY,Primary,primary,,<$5M,0,,,,,,True
1311026,Aberdeen,2018,SECONDARY,SECONDARY,Secondary,secondary,1.386,<$5M,2,3.0,6.0,0.465,9.558,3.675,False
1311026,Aberdeen,2019,ALL,ALL,All,all,1.386,<$5M,2,3.0,6.0,0.532,9.19,3.698,False
1311026,Aberdeen,2019,PRIMARY,PRIMARY,Primary,primary,,<$5M,0,,,,,,True
1311026,Aberdeen,2019,SECONDARY,SECONDARY,Secondary,secondary,1.386,<$5M,2,3.0,6.0,0.537,9.233,3.727,False
1311026,Aberdeen,2020,ALL,ALL,All,all,1.386,<$5M,2,3.0,6.0,0.46,8.758,2.755,False
1311026,Aberdeen,2020,PRIMARY,PRIMARY,Primary,primary,,<$5M,0,,,,,,True
1311026,Aberdeen,2020,SECONDARY,SECONDARY,Secondary,secondary,1.386,<$5M,2,3.0,6.0,0.464,8.8,2.774,False
1311026,Aberdeen,2021,ALL,ALL,All,all,1.386,<$5M,2,3.0,6.0,0.52,9.037,3.645,False
1311026,Aberdeen,2021,PRIMARY,PRIMARY,Primary,primary,,<$5M,0,,,,,,True
1311026,Aberdeen,2021,SECONDARY,SECONDARY,Secondary,secondary,1.386,<$5M,2,3.0,6.0,0.526,9.082,3.675,False
1311026,Aberdeen,2022,ALL,ALL,All,all,1.386,<$5M,2,3.0,6.0,0.506,8.48,3.49,False
1311026,Aberdeen,2022,PRIMARY,PRIMARY,Primary,primary,,<$5M,0,,,,,,True
1311026,Aberdeen,2022,SECONDARY,SECONDARY,Secondary,secondary,1.386,<$5M,2,3.0,6.0,0.511,8.517,3.517,False
1311026,Aberdeen,2023,ALL,ALL,All,all,1.17,<$5M,2,3.0,6.0,0.364,8.235,3.188,False
1311026,Aberdeen,2023,PRIMARY,PRIMARY,Primary,primary,,<$5M,0,,,,,,True
1311026,Aberdeen,2023,SECONDARY,SECONDARY,Secondary,secondary,1.17,<$5M,2,3.0,6.0,0.368,8.272,3.22,False
1311026,Aberdeen,2024,ALL,ALL,All,all,1.17,<$5M,2,3.0,6.0,0.416,8.034,3.131,False
1311026,Aberdeen,2024,PRIMARY,PRIMARY,Primary,primary,,<$5M,0,,,,,,True
1311026,Aberdeen,2024,SECONDARY,SECONDARY,Secondary,secondary,1.17,<$5M,2,3.0,6.0,0.422,8.077,3.17,False
1311026,Aberdeen,2025,ALL,ALL,All,all,1.17,<$5M,2,3.0,6.0,0.456,8.054,3.211,False
1311026,Aberdeen,2025,PRIMARY,PRIMARY,Primary,primary,,<$5M,0,,,,,,True
1311026,Aberdeen,2025,SECONDARY,SECONDARY,Secondary,secondary,1.17,<$5M,2,3.0,6.0,0.461,8.096,3.242,False
4715018,Aberdeen No. 373,2017,ALL,ALL,All,all,,<$5M,0,,,,,,True
4715018,Aberdeen No. 373,2017,PRIMARY,PRIMARY,Primary,primary,,<$5M,0,,,,,,True
4715018,Aberdeen No. 373,2017,SECONDARY,SECONDARY,Secondary,secondary,,<$5M,0,,,,,,True
4715018,Aberdeen No. 373,2018,ALL,ALL,All,all,,<$5M,<2,,,,,,True
4715018,Aberdeen No. 373,2018,PRIMARY,PRIMARY,Primary,primary,,<$5M,0,,,,,,True
4715018,Aberdeen No. 373,2018,SECONDARY,SECONDARY,Secondary,secondary,,<$5M,<2,,,,,,True
4715018,Aberdeen No. 373,2019,ALL,ALL,All,all,,<$5M,<2,,,,,,True
4715018,Aberdeen No. 373,2019,PRIMARY,PRIMARY,Primary,primary,,<$5M,0,,,,,,True
