"","Year","United_States","Canada_Export_Total"
"1",1950,23,38
"2",1951,45,55
"3",1952,255,268
"4",1953,45,76
"5",1954,36,210
"6",1955,32,190
"7",1956,31,297
"8",1957,31,336
"9",1958,31,544
"10",1959,46,119
"11",1960,31,66
"12",1961,173,300
"13",1962,173,188
"14",1963,173,245
"15",1964,169,273
"16",1965,53,121
"17",1966,NA,112
"18",1967,NA,73
"19",1968,NA,198
"20",1969,NA,183
"21",1970,6,198
"22",1971,116,290
"23",1972,6,323
"24",1973,6,118
"25",1974,6,90
"26",1975,5,59
"27",1976,NA,259
"28",1977,NA,138
"29",1978,NA,177
"30",1979,1,163
"31",1980,NA,116
"32",1981,NA,105
"33",1982,NA,237
"34",1983,8,97
"35",1984,27,77
"36",1985,36,83
"37",1986,64,240
"38",1987,67,250
"39",1988,29,124
"40",1989,4,33
"41",1990,NA,79
"42",1991,13,93
"43",1992,NA,147
"44",1993,7,152
"45",1994,57,165
"46",1995,106,248
"47",1996,NA,168
"48",1997,2,97
"49",1998,3,39
"50",1999,1,80
"51",2000,7,69
"52",2001,27,124
"53",2002,128,177
"54",2003,181,302
"55",2004,133,289
"56",2005,152,234
"57",2006,176,254
"58",2007,183,334
"59",2008,186,252
"60",2009,142,198
"61",2010,143,196
"62",2011,164,277
"63",2012,158,258
"64",2013,63,170
"65",2014,15,189
"66",2015,12,298
"67",2016,5,96
"68",2017,NA,63
"69",2018,NA,108
"70",2019,NA,223
"71",2020,NA,123
"72",2021,6,144
"73",2022,27,147
"74",2023,52,276
"75",2024,26,237
"76",2025,85,312
