"CONAME","lat","long","NAICS6","NAICSD","sales_M","employees","PUBPRV","HDBRCH","STATE","STCITY","year"
"G Michaels Consulting Ltd",53.512252,-113.520098,541330,"Engineering Services",3.234,14,NA,NA,"AB","Edmonton",2017
"Niven Fischer Energy Svc",51.0488226,-114.073211,541330,"Engineering Services",0.462,2,NA,NA,"AB","Calgary",2017
"Olynyk Acoustic Engineer",53.5272775,-113.4652276,541330,"Engineering Services",1.848,8,NA,NA,"AB","Edmonton",2017
"Able Compressor Svc",51.014424,-114.034467,541330,"Engineering Services",0.231,1,NA,NA,"AB","Calgary",2017
"Absolute Systems Inc",53.55439,-113.632008,541330,"Engineering Services",2.772,12,NA,NA,"AB","Edmonton",2017
"Grey Owl Engineering Ltd",51.0459894,-114.0799615,541330,"Engineering Services",4.62,20,NA,NA,"AB","Calgary",2017
"Acorn Consulting Engineering",51.044581,-114.1057715,541330,"Engineering Services",2.079,9,NA,NA,"AB","Calgary",2017
"RPS Energy",51.0496618,-114.0723191,541330,"Engineering Services",11.55,50,NA,NA,"AB","Calgary",2017
"Adart Engineering Svc Ltd",51.04955,-114.186935,541330,"Engineering Services",1.617,7,NA,NA,"AB","Calgary",2017
"Adem Engineering Ltd",51.010143,-114.034615,541330,"Engineering Services",1.386,6,NA,NA,"AB","Calgary",2017
"Al Neufeld Consulting Ltd",51.11978,-114.171747,541330,"Engineering Services",0.231,1,NA,NA,"AB","Calgary",2017
"Al-Terra Engineering Ltd",52.266308,-113.814039,541330,"Engineering Services",4.62,20,NA,NA,"AB","Red Deer",2017
"Al-Terra Engineering Ltd",53.519502,-113.425859,541330,"Engineering Services",5.082,22,NA,NA,"AB","Edmonton",2017
"Allen Wasnea Engineering Ltd",53.537256,-113.501262,541330,"Engineering Services",1.155,5,NA,NA,"AB","Edmonton",2017
"Almor Testing Svc Ltd",50.987696,-113.976554,541330,"Engineering Services",8.085,35,NA,NA,"AB","Calgary",2017
"Alphamet Metallurgical",53.476545,-113.467776,541330,"Engineering Services",3.927,17,NA,NA,"AB","Edmonton",2017
"Amtech Aeronautical Ltd",50.036878,-110.696713,541330,"Engineering Services",4.62,20,NA,NA,"AB","Medicine Hat",2017
"Arcos Acoustical Consulting",51.06084,-114.126259,541330,"Engineering Services",0.462,2,NA,NA,"AB","Calgary",2017
"Dnv Energy Canada",51.093253,-113.994407,541330,"Engineering Services",8.778,38,NA,NA,"AB","Calgary",2017
"B M Potter Consultants Ltd",51.076997,-114.011656,541330,"Engineering Services",2.772,12,NA,NA,"AB","Calgary",2017
