region_uid,region_name,year,NAICS6,NAICSD,defence_type,total_sales_M,total_sales_M_real,sales_bucket,n_firms,avg_employees,total_jobs,lq_sales,lq_firms,lq_jobs,suppressed
48,Alberta,2017,325920,Explosives Manufacturing,primary,17.119,21.556,>=$5M,6,8.8,53.0,1.239,1.24,1.386,False
48,Alberta,2017,331110,Iron & Steel Mills & Ferroalloy Manufacturing,secondary,2317.865,2918.661,>=$5M,86,23.7,2035.0,1.096,1.041,1.201,False
48,Alberta,2017,331221,Rolled Steel Shape Manufacturing,secondary,,,>=$5M,<2,,,,,,True
48,Alberta,2017,334511,Search Detection & Navigation Instruments,secondary,54.908,69.14,>=$5M,6,24.7,148.0,0.447,0.698,0.49,False
48,Alberta,2017,336411,Aircraft Manufacturing,secondary,264.99,333.676,>=$5M,9,48.7,438.0,0.311,1.019,0.346,False
48,Alberta,2017,336611,Ship Building & Repairing,secondary,3.552,4.473,<$5M,2,8.0,16.0,0.046,0.127,0.051,False
48,Alberta,2017,336612,Boat Building,secondary,2.97,3.74,<$5M,3,5.0,15.0,0.038,0.11,0.042,False
48,Alberta,2017,336992,"Military Armored Vehicle, Tank & Tank Cmpnnt Mfg",primary,89.598,112.822,>=$5M,3,36.3,109.0,4.063,3.542,4.518,False
48,Alberta,2017,336999,All Other Transportation Equipment Manufacturing,secondary,,,<$5M,<2,,,,,,True
48,Alberta,2017,541330,Engineering Services,secondary,8113.875,10217.011,>=$5M,1610,21.8,35125.0,1.429,1.485,1.588,False
48,Alberta,2017,541370,Surveying & Mapping (except Geophysical) Services,secondary,652.974,822.226,>=$5M,401,11.1,4442.0,1.883,1.526,2.094,False
48,Alberta,2017,541511,Custom Computer Programming Services,secondary,310.293,390.722,>=$5M,212,7.1,1499.0,0.549,0.863,0.61,False
48,Alberta,2017,ALL,All,all,12161.428,15313.7,>=$5M,2340,18.9,44294.0,1.219,1.341,1.432,False
48,Alberta,2017,PRIMARY,Primary,primary,106.717,134.378,>=$5M,9,18.0,162.0,1.383,1.43,0.857,False
48,Alberta,2017,SECONDARY,Secondary,secondary,12054.711,15179.322,>=$5M,2331,18.9,44132.0,1.218,1.341,1.436,False
48,Alberta,2018,325920,Explosives Manufacturing,primary,54.264,66.793,>=$5M,10,16.8,168.0,2.282,1.362,2.529,False
48,Alberta,2018,331110,Iron & Steel Mills & Ferroalloy Manufacturing,secondary,2513.773,3094.164,>=$5M,92,24.0,2207.0,1.026,1.086,1.122,False
48,Alberta,2018,331221,Rolled Steel Shape Manufacturing,secondary,,,>=$5M,<2,,,,,,True
48,Alberta,2018,334511,Search Detection & Navigation Instruments,secondary,63.441,78.089,>=$5M,7,24.4,171.0,0.465,0.698,0.509,False
48,Alberta,2018,336411,Aircraft Manufacturing,secondary,264.99,326.172,>=$5M,9,48.7,438.0,0.323,1.008,0.358,False
48,Alberta,2018,336611,Ship Building & Repairing,secondary,3.552,4.372,<$5M,2,8.0,16.0,0.047,0.128,0.052,False
48,Alberta,2018,336612,Boat Building,secondary,2.97,3.656,<$5M,3,5.0,15.0,0.038,0.111,0.042,False
48,Alberta,2018,336992,"Military Armored Vehicle, Tank & Tank Cmpnnt Mfg",primary,89.598,110.285,>=$5M,3,36.3,109.0,4.062,3.502,4.503,False
48,Alberta,2018,336999,All Other Transportation Equipment Manufacturing,secondary,,,<$5M,<2,,,,,,True
48,Alberta,2018,541330,Engineering Services,secondary,8915.542,10974.003,>=$5M,1698,22.7,38596.0,1.924,1.499,2.132,False
48,Alberta,2018,541370,Surveying & Mapping (except Geophysical) Services,secondary,641.802,789.984,>=$5M,403,10.8,4366.0,1.849,1.506,2.049,False
48,Alberta,2018,541511,Custom Computer Programming Services,secondary,329.751,405.885,>=$5M,212,7.5,1593.0,0.596,0.855,0.66,False
48,Alberta,2018,ALL,All,all,13212.967,16263.637,>=$5M,2441,19.7,48093.0,1.43,1.351,1.771,False
48,Alberta,2018,PRIMARY,Primary,primary,143.862,177.078,>=$5M,13,21.3,277.0,1.649,1.455,1.269,False
48,Alberta,2018,SECONDARY,Secondary,secondary,13069.105,16086.56,>=$5M,2428,19.7,47816.0,1.428,1.351,1.775,False
48,Alberta,2019,325920,Explosives Manufacturing,primary,54.91,66.296,>=$5M,11,15.5,170.0,2.194,1.51,2.489,False
48,Alberta,2019,331110,Iron & Steel Mills & Ferroalloy Manufacturing,secondary,2457.962,2967.628,>=$5M,88,24.5,2158.0,0.994,1.072,1.112,False
48,Alberta,2019,331221,Rolled Steel Shape Manufacturing,secondary,,,>=$5M,<2,,,,,,True
48,Alberta,2019,334511,Search Detection & Navigation Instruments,secondary,71.974,86.898,>=$5M,8,24.2,194.0,0.399,0.614,0.448,False
48,Alberta,2019,336411,Aircraft Manufacturing,secondary,264.99,319.936,>=$5M,9,48.7,438.0,0.322,1.032,0.365,False
